"Rate per 100,000 inhabitants",Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4535.70,452.80,7.60,34.70,157.60,253.00,4082.90,1081.30,2713.00,288.70
ALASKA,3584.20,651.90,4.10,64.30,94.00,489.60,2932.30,472.10,2221.50,238.70
ARIZONA,4738.00,447.00,6.30,25.70,149.20,265.90,4291.00,868.90,2849.50,572.60
ARKANSAS,4338.50,503.40,5.70,48.90,95.80,353.10,3835.10,1180.00,2427.10,228.00
CALIFORNIA,3444.10,503.80,5.80,24.20,188.80,285.00,2940.30,647.10,1769.40,523.80
COLORADO,3192.10,343.10,3.20,42.50,68.10,229.30,2849.00,572.00,2003.30,273.70
CONNECTICUT,2756.50,297.80,3.50,19.30,111.60,163.50,2458.70,428.70,1774.00,256.00
DELAWARE,4288.70,703.40,6.50,41.90,210.50,444.40,3585.30,774.30,2520.00,291.00
FLORIDA,4829.70,688.90,6.40,32.60,197.90,452.00,4140.80,1028.30,2766.00,346.50
GEORGIA,4494.40,478.90,6.60,22.70,179.20,270.50,4015.50,1038.90,2567.50,409.10
HAWAII,3843.80,272.60,1.90,28.30,84.30,158.10,3571.20,728.10,2444.70,398.50
IDAHO,2329.80,228.60,1.50,36.20,15.80,175.10,2101.20,439.80,1552.00,109.50
ILLINOIS,3458.00,525.40,6.10,31.90,186.40,300.90,2932.60,612.10,2068.10,252.50
INDIANA,3669.60,333.80,5.10,27.00,118.10,183.50,3335.80,762.80,2299.20,273.70
IOWA,2704.70,283.80,2.50,29.60,41.60,210.10,2420.90,547.90,1728.80,144.30
KANSAS,3787.80,410.60,4.00,42.50,60.10,304.00,3377.20,699.90,2413.40,263.90
KENTUCKY,2880.10,296.20,4.60,33.00,93.80,164.80,2583.90,675.50,1728.80,179.60
LOUISIANA,4479.30,656.20,11.90,27.90,135.90,480.40,3823.10,982.10,2529.40,311.60
MAINE,2569.90,117.50,2.40,28.50,25.30,61.40,2452.40,495.40,1867.70,89.30
MARYLAND,4145.80,628.20,8.80,20.00,234.40,365.10,3517.60,689.60,2378.30,449.70
MASSACHUSETTS,2849.10,449.00,2.60,26.70,108.80,310.90,2400.10,555.50,1648.60,196.00
MICHIGAN,3436.30,501.50,5.40,45.00,129.60,321.50,2934.80,741.50,1831.10,362.30
MINNESOTA,3113.40,262.80,2.10,34.60,80.00,146.10,2850.60,505.90,2151.60,193.10
MISSISSIPPI,3225.30,284.90,8.10,30.30,102.60,143.90,2940.40,885.60,1838.70,216.20
MISSOURI,4168.10,504.40,7.70,27.30,125.00,344.40,3663.70,774.50,2537.90,351.30
MONTANA,2861.10,258.10,2.40,30.40,17.80,207.60,2603.00,344.40,2095.90,162.60
NEBRASKA,3182.30,303.70,3.80,32.70,72.80,194.30,2878.60,492.00,2151.80,234.80
NEVADA,4172.00,724.50,6.30,42.40,248.90,426.90,3447.50,929.00,1906.80,611.60
NEW HAMPSHIRE,2249.10,157.20,1.00,29.70,31.80,94.70,2091.90,325.70,1660.80,105.40
NEW JERSEY,2619.90,326.50,4.30,12.90,146.30,163.00,2293.40,465.30,1595.70,232.40
NEW MEXICO,4559.10,649.90,7.20,57.40,109.50,475.90,3909.20,1094.20,2411.60,403.40
NEW YORK,2391.60,398.10,4.30,14.40,163.00,216.40,1993.50,337.30,1527.30,128.90
NORTH CAROLINA,4511.40,467.30,6.50,24.80,155.40,280.60,4044.10,1210.10,2544.00,290.00
NORTH DAKOTA,2060.90,166.50,0.50,36.20,11.20,118.60,1894.40,328.30,1428.60,137.50
OHIO,3759.90,348.20,4.70,38.50,163.00,142.10,3411.70,892.80,2270.50,248.40
OKLAHOMA,3969.10,526.70,5.80,40.20,101.10,379.50,3442.40,963.10,2180.50,298.70
OREGON,3539.40,257.20,2.20,30.50,69.70,154.80,3282.20,550.90,2432.30,299.00
PENNSYLVANIA,2820.20,410.00,5.60,27.90,151.60,224.80,2410.20,470.90,1758.80,180.50
RHODE ISLAND,3090.00,249.40,2.80,26.40,83.70,136.70,2840.60,547.20,1988.90,304.50
SOUTH CAROLINA,4963.90,729.70,6.80,36.60,147.30,539.10,4234.20,1026.10,2814.10,394.00
SOUTH DAKOTA,1847.00,201.40,3.20,53.70,14.90,129.60,1645.60,302.20,1244.00,99.50
TENNESSEE,4765.00,722.40,6.60,33.20,173.80,508.90,4042.60,1046.00,2687.30,309.30
TEXAS,4493.50,507.90,5.60,32.90,155.20,314.10,3985.60,946.00,2688.80,350.80
UTAH,3579.20,221.80,1.40,32.60,51.90,135.80,3357.40,536.50,2557.90,262.90
VERMONT,2674.40,135.90,2.70,20.40,14.30,98.30,2538.50,557.20,1887.10,94.20
VIRGINIA,2774.00,255.90,4.70,22.60,95.70,132.80,2518.10,411.80,1935.60,170.70
WASHINGTON,4089.60,331.20,2.90,40.10,96.90,191.20,3758.40,801.30,2524.60,432.60
WEST VIRGINIA,2842.40,273.80,3.30,20.00,49.00,201.50,2568.60,609.90,1782.20,176.60
WISCONSIN,3030.40,274.00,2.60,19.90,91.10,160.40,2756.40,488.30,2063.40,204.70
WYOMING,2949.30,232.00,1.90,33.80,16.10,180.20,2717.30,410.00,2173.40,133.90
