"Rate per 100,000 inhabitants",Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4419.60,448.00,8.90,33.40,159.90,245.80,3971.60,979.50,2684.60,307.50
ALASKA,4040.70,661.20,6.40,77.40,85.30,492.00,3379.50,538.70,2487.00,353.80
ARIZONA,4896.70,482.70,7.40,29.30,151.70,294.30,4414.00,912.20,2738.40,763.40
ARKANSAS,4482.50,529.40,6.70,44.70,106.70,371.20,3953.10,1131.40,2574.40,247.30
CALIFORNIA,3555.60,522.60,6.20,24.70,193.00,298.80,3033.00,648.40,1784.40,600.20
COLORADO,3353.90,347.80,3.10,41.10,71.00,232.50,3006.10,591.40,2069.30,345.40
CONNECTICUT,2655.90,256.00,3.00,18.80,103.00,131.20,2399.90,432.90,1705.20,261.70
DELAWARE,4059.30,689.20,4.30,38.90,197.30,448.80,3370.10,733.30,2369.00,267.80
FLORIDA,4811.90,722.60,6.60,33.70,209.10,473.20,4089.30,996.30,2689.40,403.60
GEORGIA,4394.20,493.20,7.50,22.80,181.70,281.20,3901.00,950.20,2504.60,446.30
HAWAII,4498.20,272.80,1.70,25.40,86.10,159.60,4225.40,708.80,2993.30,523.20
IDAHO,2486.00,239.40,3.30,38.50,15.50,182.00,2246.60,465.30,1632.80,148.50
ILLINOIS,3469.00,533.20,5.90,31.90,179.70,315.70,2935.80,587.60,2084.50,263.70
INDIANA,3730.20,333.60,5.60,27.50,124.10,176.40,3396.60,739.40,2349.00,308.20
IOWA,2910.30,294.70,1.20,30.30,43.90,219.20,2615.60,567.00,1885.10,163.50
KANSAS,4131.40,452.70,3.90,44.30,72.60,331.80,3678.70,729.90,2640.20,308.50
KENTUCKY,2813.30,295.00,4.80,32.60,95.90,161.70,2518.30,652.70,1661.10,204.50
LOUISIANA,4805.50,729.50,14.20,32.40,141.70,541.20,4076.00,1038.90,2683.50,353.60
MAINE,2546.80,118.00,1.60,29.70,26.50,60.20,2428.80,506.80,1826.40,95.60
MARYLAND,4073.40,641.90,9.80,21.00,236.00,375.10,3431.50,660.20,2265.90,505.40
MASSACHUSETTS,2823.00,431.50,2.90,25.30,108.60,294.70,2391.50,552.90,1606.10,232.40
MICHIGAN,3601.70,536.00,6.70,45.50,133.20,350.70,3065.70,748.90,1898.30,418.50
MINNESOTA,3325.30,288.70,2.20,36.00,91.80,158.60,3036.60,570.80,2224.70,241.00
MISSISSIPPI,3492.10,291.30,7.10,35.60,98.20,150.30,3200.80,957.90,1990.00,252.90
MISSOURI,4243.30,504.90,6.50,29.20,121.90,347.30,3738.40,739.10,2594.70,404.60
MONTANA,3052.90,287.50,1.50,30.30,19.90,235.80,2765.40,316.00,2266.20,183.20
NEBRASKA,3463.80,302.40,3.80,29.70,62.40,206.50,3161.40,509.80,2358.60,293.10
NEVADA,4528.40,750.60,7.50,42.70,270.20,430.20,3777.80,968.30,1939.10,870.50
NEW HAMPSHIRE,2029.30,137.30,1.10,25.30,32.80,78.00,1892.00,378.90,1414.40,98.70
NEW JERSEY,2542.40,329.30,4.40,12.10,144.50,168.30,2213.10,431.50,1528.80,252.70
NEW MEXICO,4389.90,664.20,8.20,52.40,117.80,485.80,3725.70,964.10,2307.90,453.80
NEW YORK,2392.70,414.10,4.20,15.20,161.10,233.70,1978.60,336.10,1497.20,145.30
NORTH CAROLINA,4553.70,466.40,6.50,26.30,149.50,284.10,4087.30,1200.70,2577.90,308.60
NORTH DAKOTA,2032.00,142.40,1.90,32.40,10.90,97.20,1889.60,338.30,1408.40,142.90
OHIO,3798.40,343.20,4.50,38.80,159.20,140.70,3455.20,859.10,2301.60,294.60
OKLAHOMA,4026.00,499.60,6.10,43.10,93.20,357.10,3526.40,943.30,2211.10,372.10
OREGON,3813.80,287.60,1.90,33.50,76.40,175.80,3526.20,609.00,2529.00,388.20
PENNSYLVANIA,2777.80,416.50,5.80,27.70,156.50,226.40,2361.30,450.60,1697.90,212.80
RHODE ISLAND,2849.90,227.30,1.80,24.20,71.00,130.30,2622.60,495.00,1822.70,305.00
SOUTH CAROLINA,5060.00,788.30,8.00,39.50,144.00,596.90,4271.70,1025.80,2859.60,386.30
SOUTH DAKOTA,1821.50,169.20,2.10,38.70,14.10,114.30,1652.30,298.70,1261.30,92.30
TENNESSEE,4841.90,753.30,6.40,35.30,179.00,532.50,4088.60,1002.40,2734.40,351.80
TEXAS,4631.80,510.60,5.90,35.30,162.20,307.20,4121.20,955.10,2773.30,392.80
UTAH,3735.10,234.80,2.20,34.30,53.70,144.60,3500.30,587.50,2579.70,333.10
VERMONT,2447.00,124.30,1.90,19.80,12.90,89.70,2322.70,500.00,1719.60,103.20
VIRGINIA,2736.10,269.70,5.30,22.60,99.20,142.60,2466.40,410.90,1873.30,182.20
WASHINGTON,4363.90,333.10,2.70,40.60,93.60,196.20,4030.80,814.80,2634.40,581.60
WEST VIRGINIA,2800.20,275.20,3.50,20.40,47.00,204.30,2525.00,596.80,1735.50,192.70
WISCONSIN,3128.60,290.90,3.30,21.80,97.70,168.10,2837.70,497.00,2100.90,239.80
WYOMING,3105.20,239.30,3.10,30.60,16.10,189.50,2865.90,449.10,2264.60,152.20
