"Rate per 100,000 inhabitants",Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4451.60,426.60,5.60,38.50,133.40,249.10,4025.00,986.00,2729.50,309.60
ALASKA,4017.30,634.50,5.60,85.10,68.20,475.60,3382.80,575.60,2465.40,341.80
ARIZONA,5844.60,504.10,7.20,33.00,134.40,329.40,5340.50,990.40,3387.20,962.90
ARKANSAS,4512.10,499.10,6.40,42.40,86.20,364.10,4013.00,1093.50,2683.80,235.80
CALIFORNIA,3970.80,551.80,6.70,26.80,172.10,346.30,3419.00,685.10,2030.10,703.80
COLORADO,4292.80,373.50,4.40,42.50,81.50,245.10,3919.30,717.30,2679.00,522.90
CONNECTICUT,2913.50,286.30,2.60,20.70,120.50,142.60,2627.20,444.40,1868.10,314.70
DELAWARE,3732.30,568.40,2.00,41.50,146.70,378.10,3163.90,648.30,2257.10,258.60
FLORIDA,4891.00,711.30,5.40,38.00,172.40,495.50,4179.70,956.10,2773.30,450.20
GEORGIA,4721.40,455.50,6.90,27.00,154.70,266.80,4265.90,940.00,2825.00,501.00
HAWAII,5047.20,254.40,2.60,26.40,74.80,150.70,4792.80,857.40,3252.80,682.60
IDAHO,3039.30,244.90,2.20,40.90,17.20,184.60,2794.40,547.30,2051.50,195.50
ILLINOIS,3729.00,542.90,6.10,33.20,177.20,326.40,3186.10,597.30,2271.30,317.40
INDIANA,3723.00,325.40,5.10,28.90,102.20,189.20,3397.60,676.00,2383.50,338.10
IOWA,3176.20,270.90,1.60,26.70,38.00,204.50,2905.30,615.10,2107.30,182.90
KANSAS,4348.00,374.50,4.50,40.40,66.30,263.40,3973.50,731.10,2934.00,308.40
KENTUCKY,2782.60,244.90,5.70,29.90,78.80,130.50,2537.70,624.80,1701.30,211.60
LOUISIANA,5048.90,638.70,12.70,35.80,145.40,444.90,4410.20,1004.50,2969.20,436.60
MAINE,2513.10,103.50,1.40,23.90,21.90,56.30,2409.60,481.40,1829.30,98.90
MARYLAND,4340.70,700.50,9.40,23.70,229.60,437.80,3640.20,660.00,2335.10,645.20
MASSACHUSETTS,2918.50,458.80,2.60,28.00,116.40,311.70,2459.70,537.20,1578.80,343.70
MICHIGAN,3547.80,490.20,6.40,54.20,111.90,317.70,3057.60,636.80,1921.00,499.90
MINNESOTA,3308.60,269.60,2.20,41.60,79.80,146.00,3039.00,549.90,2224.20,265.00
MISSISSIPPI,3773.60,295.10,7.80,40.00,86.20,161.10,3478.50,952.90,2254.20,271.40
MISSOURI,4394.00,490.50,6.20,25.70,115.20,343.40,3903.50,703.30,2750.20,450.00
MONTANA,3230.00,293.80,3.20,29.50,25.10,236.00,2936.20,379.20,2382.40,174.60
NEBRASKA,3829.30,308.70,2.30,35.50,65.10,205.80,3520.60,562.40,2655.60,302.60
NEVADA,4822.50,615.90,7.40,40.90,210.10,357.60,4206.60,991.20,2246.00,969.50
NEW HAMPSHIRE,2207.10,167.00,1.40,35.30,38.50,91.80,2040.10,382.10,1508.50,149.40
NEW JERSEY,2784.90,355.70,4.50,15.30,150.30,185.60,2429.20,471.70,1609.10,348.40
NEW MEXICO,4885.00,687.30,8.90,54.60,108.30,515.50,4197.70,1046.80,2735.70,415.20
NEW YORK,2640.20,441.60,4.60,18.80,174.30,244.00,2198.60,367.70,1617.70,213.30
NORTH CAROLINA,4608.00,447.80,6.20,27.40,137.90,276.20,4160.20,1184.80,2659.40,316.00
NORTH DAKOTA,1996.00,79.40,1.40,25.10,6.10,46.80,1916.60,301.10,1472.70,142.80
OHIO,4015.00,341.80,4.50,40.50,153.10,143.60,3673.20,846.10,2470.60,356.50
OKLAHOMA,4742.60,500.50,5.30,44.20,87.70,363.30,4242.10,1000.20,2874.10,367.70
OREGON,4929.60,298.30,2.50,35.70,76.50,183.60,4631.30,836.60,3279.00,515.60
PENNSYLVANIA,2826.10,411.10,5.20,28.50,148.90,228.40,2415.00,438.80,1726.50,249.60
RHODE ISLAND,3131.50,247.40,2.40,29.60,67.60,147.70,2884.10,505.70,2001.00,377.40
SOUTH CAROLINA,5289.00,784.20,6.90,40.90,129.70,606.70,4504.80,1034.40,3097.90,372.50
SOUTH DAKOTA,2105.00,171.50,2.30,43.80,14.80,110.50,1933.50,408.50,1415.30,109.70
TENNESSEE,5001.70,695.20,5.90,37.60,149.80,501.80,4306.50,1020.30,2866.80,419.40
TEXAS,5034.50,540.50,6.10,37.30,159.30,337.90,4494.00,978.70,3097.00,418.30
UTAH,4321.60,236.00,1.90,39.10,51.70,143.30,4085.60,637.10,3128.20,320.30
VERMONT,2420.20,112.00,2.60,24.50,12.20,72.70,2308.20,544.90,1670.80,92.50
VIRGINIA,2952.20,275.60,5.20,23.70,92.60,154.10,2676.60,386.00,2057.20,233.40
WASHINGTON,5193.00,343.80,3.10,46.10,94.60,200.20,4849.20,977.30,3175.00,696.90
WEST VIRGINIA,2777.40,271.20,3.70,17.60,42.30,207.60,2506.20,602.20,1698.10,206.00
WISCONSIN,2872.70,209.60,2.80,20.60,73.80,112.40,2663.10,433.00,2023.60,206.50
WYOMING,3563.90,229.60,2.20,22.10,13.20,192.10,3334.30,540.50,2636.00,157.70
