Aggravated assault,All other offenses (except traffic),Area,Arson,Burglary,Crime Index Total,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),State,"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",Year
"10,230",,State Total,,"21,339","100,391",,,,,,,922,,,,"57,925",,"7,341",135,,,"1,819,046","86,605",,"2,499",,,NEW MEXICO,,,"100,391",,,"13,786",,2000
"60,090",,State Total,,"87,946","588,189",,,,,,,"3,530",,,,"340,901",,"54,231",952,,,"18,976,457","483,078",,"40,539",,,NEW YORK,,,"588,189",,,"105,111",,2000
"24,715",,State Total,,"97,888","395,972",,,,,,,"2,181",,,,"232,767",,"25,266",560,,,"8,049,313","355,921",,"12,595",,,NORTH CAROLINA,,,"395,972",,,"40,051",,2000
294,,State Total,,"2,093","14,694",,,,,,,169,,,,"11,092",,986,4,,,"642,200","14,171",,56,,,NORTH DAKOTA,,,"14,694",,,523,,2000
"17,636",,State Total,,"88,636","458,874",,,,,,,"4,271",,,,"293,277",,"39,026",418,,,"11,353,140","420,939",,"15,610",,,OHIO,,,"458,874",,,"37,935",,2000
"12,958",,State Total,,"31,661","157,302",,,,,,,"1,422",,,,"96,116",,"12,348",182,,,"3,450,654","140,125",,"2,615",,,OKLAHOMA,,,"157,302",,,"17,177",,2000
"7,756",,State Total,,"25,618","165,780",,,,,,,"1,286",,,,"114,230",,"13,932",70,,,"3,421,399","153,780",,"2,888",,,OREGON,,,"165,780",,,"12,000",,2000
"29,580",,State Total,,"54,080","367,858",,,,,,,"3,247",,,,"225,869",,"36,325",602,,,"12,281,054","316,274",,"18,155",,,PENNSYLVANIA,,,"367,858",,,"51,584",,2000
"2,726",,State Total,,"21,057","75,377",,,,,,,228,,,,"28,940",,"12,976",693,,,"3,808,610","62,973",,"8,757",,,PUERTO RICO,,,"75,377",,,"12,404",,2000
"1,742",,State Total,,"6,620","36,444",,,,,,,412,,,,"22,038",,"4,665",45,,,"1,048,319","33,323",,922,,,RHODE ISLAND,,,"36,444",,,"3,121",,2000
"24,666",,State Total,,"38,888","209,482",,,,,,,"1,511",,,,"123,094",,"15,207",233,,,"4,012,012","177,189",,"5,883",,,SOUTH CAROLINA,,,"209,482",,,"32,293",,2000
816,,State Total,,"2,896","17,511",,,,,,,305,,,,"12,558",,798,7,,,"754,844","16,252",,131,,,SOUTH DAKOTA,,,"17,511",,,"1,259",,2000
"28,172",,State Total,,"56,344","278,218",,,,,,,"2,186",,,,"154,111",,"27,530",410,,,"5,689,283","237,985",,"9,465",,,TENNESSEE,,,"278,218",,,"40,233",,2000
"74,302",,State Total,,"188,975","1,033,311",,,,,,,"7,856",,,,"637,522",,"93,161","1,238",,,"20,851,820","919,658",,"30,257",,,TEXAS,,,"1,033,311",,,"113,653",,2000
"3,563",,State Total,,"14,348","99,958",,,,,,,863,,,,"73,438",,"6,461",43,,,"2,233,169","94,247",,"1,242",,,UTAH,,,"99,958",,,"5,711",,2000
425,,State Total,,"3,501","18,185",,,,,,,140,,,,"13,184",,809,9,,,"608,827","17,494",,117,,,VERMONT,,,"18,185",,,691,,2000
"11,631",,State Total,,"30,434","214,348",,,,,,,"1,616",,,,"146,158",,"17,813",401,,,"7,078,515","194,405",,"6,295",,,VIRGINIA,,,"214,348",,,"19,943",,2000
"13,043",,State Total,,"53,476","300,932",,,,,,,"2,737",,,,"190,650",,"35,018",196,,,"5,894,121","279,144",,"5,812",,,WASHINGTON,,,"300,932",,,"21,788",,2000
"4,597",,State Total,,"9,890","47,067",,,,,,,331,,,,"28,139",,"3,315",46,,,"1,808,344","41,344",,749,,,WEST VIRGINIA,,,"47,067",,,"5,723",,2000
"6,829",,State Total,,"25,183","172,124",,,,,,,"1,165",,,,"119,605",,"14,636",169,,,"5,363,675","159,424",,"4,537",,,WISCONSIN,,,"172,124",,,"12,700",,2000
"1,074",,State Total,,"2,078","16,285",,,,,,,160,,,,"12,318",,573,12,,,"493,782","14,969",,70,,,WYOMING,,,"16,285",,,"1,316",,2000
"12,250",,State Total,,"40,642","192,835",,,,,,,"1,369",,,,"119,992",,"12,619",379,,,"4,464,356","173,253",,"5,584",,,ALABAMA,,,"192,835",,,"19,582",,2001
"2,681",,State Total,,"3,847","26,895",,,,,,,501,,,,"16,695",,"2,618",39,,,"634,892","23,160",,514,,,ALASKA,,,"26,895",,,"3,735",,2001
"17,889",,State Total,,"54,821","322,549",,,,,,,"1,518",,,,"186,850",,"52,203",400,,,"5,307,331","293,874",,"8,868",,,ARIZONA,,,"322,549",,,"28,675",,2001
"8,969",,State Total,,"22,196","111,296",,,,,,,892,,,,"69,590",,"7,320",148,,,"2,692,090","99,106",,"2,181",,,ARKANSAS,,,"111,296",,,"12,190",,2001
