Activity,All governments/a (thousands of dollars),Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total justice system,246650117,47137999,84938439,123825544,-,-,-
Direct expenditure,246650117,43284000,79715490,123650627,17.5,32.3,50.1
Intergovernmental expenditure,-,3853999,5222949,174917,-,-,-
Police protection,113834787,26806715,13594279,77194788,-,-,-
Direct expenditure,113834787,24615000,12034322,77185465,21.6,10.6,67.8
Intergovernmental expenditure,-,2191715,1559957,9323,-,-,-
Judicial and legal,53213570,12829978,21446629,21035726,-,-,-
Direct expenditure,53213570,11781000,20442128,20990442,22.1,38.4,39.4
Intergovernmental expenditure,-,1048978,1004501,45284,-,-,-
Corrections,79601760,7501306,49897531,25595030,-,-,-
Direct expenditure,79601760,6888000,47239040,25474720,8.7,59.3,32
Intergovernmental expenditure,-,613306,2658491,120310,-,-,-
