Activity,All governments/a (thousands of dollars),Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total justice system,260100636,54384819,84872909,131270004,-,-,-
Direct expenditure,260100636,49536000,79467047,131097589,19,30.6,50.4
Intergovernmental expenditure,-,4848819,5405862,172415,-,-,-
Police protection,123678671,31525685,13828055,82593829,-,-,-
Direct expenditure,123678671,28715000,12376317,82587354,23.2,10,66.8
Intergovernmental expenditure,-,2810685,1451738,6475,-,-,-
Judicial and legal,56118538,14352695,22495303,22090561,-,-,-
Direct expenditure,56118538,13073000,20995541,22049997,23.3,37.4,39.3
Intergovernmental expenditure,-,1279695,1499762,40564,-,-,-
Corrections,80303427,8506439,48549551,26585614,-,-,-
Direct expenditure,80303427,7748000,46095189,26460238,9.6,57.4,33
Intergovernmental expenditure,-,758439,2454362,125376,-,-,-
