State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,"2007 
estimated 
population",Year
IOWA,Total all ages,"114,816 ","3,996 ","13,442 ",15 ,115 ,374 ,"3,492 ","2,096 ","10,638 ",568 ,140 ,"10,266 ",688 ,"1,023 ",99 ,253 ,"3,274 ",486 ,149 ,214 ,"8,825 ",12 ,843 ,"13,130 ","8,468 ","11,940 ","6,519 ",27 ,"29,581 ",0 ,947 ,634 ,"2,567,706",2007
KANSAS,Total all ages,"73,904 ","2,341 ","6,170 ",53 ,170 ,292 ,"1,826 ","1,033 ","4,639 ",421 ,77 ,"10,113 ",446 ,"1,037 ",170 ,310 ,"1,745 ",767 ,241 ,283 ,"7,089 ",0 ,217 ,"12,080 ","7,066 ",278 ,"3,565 ",0 ,"18,501 ",0 ,0 ,"1,485 ","1,783,134",2007
KENTUCKY,Total all ages,"63,884 ","1,807 ","8,269 ",33 ,39 ,730 ,"1,005 ","1,628 ","6,386 ",242 ,13 ,"3,108 ",625 ,777 ,17 ,876 ,746 ,549 ,766 ,77 ,"11,883 ",8 ,804 ,"3,490 ","1,038 ","4,023 ","1,453 ",612 ,"22,664 ",0 ,170 ,122 ,"850,422",2007
LOUISIANA,Total all ages,"173,584 ","8,014 ","22,955 ",242 ,324 ,"1,119 ","6,329 ","5,103 ","16,555 ","1,143 ",154 ,"21,777 ",868 ,"2,086 ",329 ,"1,575 ","3,327 ","2,029 ",548 ,"1,033 ","22,964 ",139 ,"1,745 ","8,725 ","6,391 ","3,147 ","16,257 ",562 ,"47,624 ",61 ,707 ,721 ,"2,617,038",2007
MAINE,Total all ages,"57,731 ",723 ,"7,727 ",19 ,71 ,172 ,461 ,"1,306 ","6,064 ",287 ,70 ,"7,160 ",350 ,869 ,57 ,193 ,"1,535 ",416 ,42 ,256 ,"5,721 ",2 ,139 ,"8,097 ","4,472 ",65 ,"1,882 ",0 ,"17,864 ",0 ,57 ,104 ,"1,314,909",2007
MARYLAND,Total all ages,"296,861 ","12,513 ","34,595 ",327 ,348 ,"4,119 ","7,719 ","6,972 ","23,780 ","3,365 ",478 ,"29,922 ","1,042 ","2,329 ",409 ,261 ,"4,351 ","4,271 ","1,377 ","1,513 ","55,155 ",454 ,"2,255 ","24,230 ","6,830 ",1 ,"7,171 ",126 ,"106,364 ",720 ,276 ,696 ,"5,562,657",2007
MASSACHUSETTS,Total all ages,"146,284 ","11,847 ","17,142 ",68 ,305 ,"1,859 ","9,615 ","3,707 ","12,302 ",995 ,138 ,"18,796 ",828 ,"1,396 ",119 ,"1,326 ","3,380 ","1,386 ","1,098 ",606 ,"20,626 ",22 ,"1,626 ","11,746 ","5,209 ","7,378 ","8,019 ",14 ,"33,257 ",172 ,7 ,284 ,"5,899,072",2007
MICHIGAN,Total all ages,"312,777 ","14,100 ","36,575 ",306 ,598 ,"2,692 ","10,504 ","6,122 ","26,640 ","3,464 ",349 ,"28,988 ","1,176 ","6,231 ","1,249 ","2,253 ","3,917 ","5,086 ",603 ,"1,094 ","33,923 ",159 ,"3,308 ","40,584 ","22,237 ",432 ,"9,872 ",419 ,"98,247 ",0 ,976 ,"1,348 ","9,301,438",2007
MINNESOTA ,Total all ages,"215,671 ","5,950 ","27,976 ",115 ,125 ,"1,334 ","4,376 ","3,521 ","22,470 ","1,781 ",204 ,"19,537 ","1,994 ","3,482 ",24 ,"2,045 ","4,821 ","2,375 ","1,119 ","1,574 ","18,814 ",12 ,834 ,"31,735 ","29,932 ",0 ,"15,158 ",406 ,"39,756 ",0 ,"4,022 ","4,105 ","5,078,367",2007
MISSISSIPPI,Total all ages,"85,271 ","1,789 ","8,185 ",83 ,135 ,545 ,"1,026 ","1,753 ","5,892 ",439 ,101 ,"9,596 ",698 ,"1,267 ",674 ,641 ,"1,042 ",758 ,110 ,308 ,"10,289 ",382 ,"2,248 ","7,881 ","2,496 ","4,897 ","6,199 ",69 ,"24,923 ",47 ,555 ,217 ,"1,082,611",2007
MISSOURI,Total all ages,"297,234 ","10,765 ","35,649 ",217 ,461 ,"1,689 ","8,398 ","5,734 ","27,310 ","2,292 ",313 ,"30,032 ","2,248 ","3,919 ",154 ,"2,976 ","6,169 ","2,891 ",320 ,"2,132 ","32,958 ",110 ,"3,772 ","31,633 ","14,380 ",322 ,"13,345 ",204 ,"99,390 ",0 ,"1,200 ","2,665 ","4,980,958",2007
MONTANA,Total all ages,"28,136 ",864 ,"3,983 ",11 ,26 ,47 ,780 ,240 ,"3,454 ",230 ,59 ,"3,775 ",59 ,168 ,28 ,22 ,"1,054 ",92 ,30 ,66 ,"1,566 ",0 ,252 ,"3,264 ","5,011 ",0 ,"2,431 ",41 ,"4,507 ",0 ,568 ,355 ,"803,145",2007
NEBRASKA,Total all ages,"83,957 ","1,699 ","8,823 ",47 ,135 ,289 ,"1,228 ",845 ,"7,493 ",384 ,101 ,"8,136 ",520 ,"1,743 ",102 ,830 ,"2,519 ","1,037 ",182 ,579 ,"9,816 ",11 ,"1,507 ","12,350 ","11,228 ",0 ,"4,089 ",44 ,"18,140 ",0 ,290 ,312 ,"1,506,881",2007
NEVADA,Total all ages,"167,412 ","5,595 ","15,606 ",151 ,186 ,"1,739 ","3,519 ","2,889 ","10,747 ","1,831 ",139 ,"18,817 ","1,329 ","2,315 ",544 ,"1,727 ","2,463 ","2,389 ","5,430 ","1,385 ","14,444 ",98 ,"1,650 ","12,538 ","9,281 ",123 ,"3,255 ","3,873 ","59,493 ",34 ,"3,572 ","1,451 ","2,467,618",2007
NEW HAMPSHIRE,Total all ages,"38,396 ",358 ,"2,274 ",4 ,30 ,76 ,248 ,333 ,"1,829 ",82 ,30 ,"4,337 ",139 ,877 ,22 ,409 ,"1,158 ",89 ,27 ,138 ,"2,570 ",24 ,180 ,"4,146 ","4,753 ","4,333 ",918 ,21 ,"11,345 ",0 ,8 ,270 ,"891,903",2007
NEW JERSEY,Total all ages,"383,797 ","13,680 ","31,828 ",269 ,400 ,"4,065 ","8,946 ","5,848 ","24,672 ",936 ,372 ,"26,830 ","1,738 ","3,681 ",139 ,"4,567 ","7,457 ","5,451 ","1,706 ","1,606 ","52,773 ",182 ,"14,958 ","25,031 ","7,757 ",0 ,"22,776 ",992 ,"151,131 ",0 ,"4,872 ","4,642 ","8,421,399",2007
NEW MEXICO,Total all ages,"78,484 ","3,396 ","6,689 ",74 ,117 ,376 ,"2,829 ","1,001 ","5,256 ",389 ,43 ,"6,856 ",278 ,453 ,163 ,824 ,856 ,728 ,348 ,147 ,"6,805 ",1 ,713 ,"10,006 ","4,014 ",607 ,"2,737 ",14 ,"32,312 ",37 ,12 ,488 ,"1,391,131",2007
NEW YORK ,Total all ages,"345,251 ","16,069 ","52,969 ",362 ,715 ,"4,185 ","10,807 ","8,283 ","41,506 ","2,707 ",473 ,"33,324 ","4,445 ","8,474 ","1,031 ","5,701 ","13,408 ","4,256 ","1,318 ","4,344 ","61,163 ",163 ,"2,489 ","28,440 ","5,262 ",2 ,"15,868 ","1,133 ","85,392 ",0 ,0 ,0 ,"10,520,724",2007
NORTH CAROLINA,Total all ages,"407,663 ","19,623 ","56,115 ",622 ,577 ,"4,186 ","14,238 ","15,261 ","38,769 ","1,668 ",417 ,"53,785 ","2,728 ","22,278 ","1,865 ","5,530 ","8,594 ","7,644 ","1,492 ","1,478 ","38,343 ",159 ,"7,258 ","26,928 ","9,898 ",0 ,"16,454 ",382 ,"126,607 ",0 ,2 ,500 ,"6,998,327",2007
NORTH DAKOTA,Total all ages,"27,359 ",321 ,"2,517 ",11 ,38 ,33 ,239 ,259 ,"2,068 ",165 ,25 ,"1,957 ",113 ,863 ,28 ,130 ,608 ,114 ,6 ,70 ,"1,743 ",3 ,168 ,"4,119 ","5,717 ",713 ,"1,584 ",4 ,"5,541 ",0 ,318 ,722 ,"562,723",2007
OHIO,Total all ages,"256,718 ","6,911 ","33,375 ",194 ,562 ,"2,591 ","3,564 ","6,110 ","25,564 ","1,399 ",302 ,"30,211 ","1,369 ","3,373 ",31 ,"3,972 ","4,506 ","2,951 ","1,472 ","1,027 ","34,740 ",53 ,"7,448 ","19,155 ","13,600 ","4,887 ","20,922 ",49 ,"63,863 ",65 ,"1,791 ",947 ,"6,848,511",2007
OKLAHOMA,Total all ages,"161,719 ","5,665 ","15,161 ",183 ,319 ,793 ,"4,370 ","3,066 ","10,810 ","1,010 ",275 ,"10,302 ",977 ,"2,662 ",637 ,"2,555 ","1,553 ","2,520 ",434 ,781 ,"22,319 ",5 ,"1,072 ","18,229 ","3,295 ","25,171 ","3,474 ",0 ,"39,578 ",0 ,"2,200 ","3,129 ","3,615,869",2007
OREGON,Total all ages,"147,335 ","4,938 ","26,225 ",82 ,294 ,"1,173 ","3,389 ","2,869 ","21,006 ","2,049 ",301 ,"15,173 ","1,393 ","1,768 ",62 ,684 ,"5,213 ","1,889 ",516 ,"1,270 ","18,664 ",7 ,621 ,"17,096 ","17,928 ",0 ,"7,615 ",24 ,"21,371 ",0 ,"2,735 ","2,143 ","3,522,777",2007
PENNSYLVANIA,Total all ages,"467,655 ","24,609 ","56,190 ",516 ,"1,094 ","7,211 ","15,788 ","9,722 ","41,558 ","4,168 ",742 ,"45,908 ","3,356 ","9,376 ",448 ,"3,355 ","12,457 ","4,569 ","2,301 ","2,772 ","57,305 ",280 ,"1,102 ","49,238 ","26,428 ","24,316 ","60,747 ",764 ,"54,661 ",0 ,"25,321 ","2,152 ","11,408,646",2007
RHODE ISLAND,Total all ages,"26,966 ",463 ,"2,700 ",9 ,37 ,71 ,346 ,567 ,"1,975 ",125 ,33 ,"2,946 ",102 ,678 ,140 ,253 ,955 ,257 ,128 ,74 ,"2,933 ",16 ,146 ,"2,131 ",749 ,9 ,"2,313 ",0 ,"9,891 ",0 ,30 ,52 ,"876,018",2007
SOUTH CAROLINA,Total all ages,"213,355 ","10,681 ","25,181 ",302 ,418 ,"1,705 ","8,256 ","5,306 ","18,615 ","1,073 ",187 ,"23,105 ","2,457 ","17,664 ",559 ,"2,489 ","4,173 ","2,718 ",654 ,671 ,"30,679 ",192 ,"1,611 ","11,712 ","11,311 ","10,618 ","14,808 ","1,361 ","40,126 ",0 ,50 ,535 ,"4,179,455",2007
SOUTH DAKOTA,Total all ages,"18,014 ",265 ,"1,502 ",8 ,29 ,17 ,211 ,175 ,"1,244 ",53 ,30 ,"1,815 ",52 ,610 ,16 ,67 ,301 ,84 ,4 ,41 ,"1,371 ",0 ,202 ,"4,203 ","4,572 ",105 ,979 ,13 ,"1,266 ",0 ,254 ,292 ,"388,719",2007
TENNESSEE,Total all ages,"304,793 ","13,613 ","36,353 ",286 ,368 ,"2,915 ","10,044 ","5,880 ","27,773 ","2,501 ",199 ,"30,507 ","3,426 ","9,323 ","1,155 ",835 ,"4,478 ","3,404 ","2,219 ",733 ,"38,899 ",335 ,"1,420 ","27,178 ","8,754 ","21,671 ","11,774 ",61 ,"84,595 ",0 ,"1,951 ","2,109 ","4,848,243",2007
TEXAS,Total all ages,"1,087,325 ","33,309 ","119,633 ",759 ,"1,947 ","7,593 ","23,010 ","18,544 ","93,431 ","6,817 ",841 ,"99,238 ","7,843 ","14,401 ",427 ,642 ,"13,282 ","12,681 ","8,552 ","3,878 ","136,361 ",695 ,"4,757 ","88,236 ","29,125 ","130,622 ","41,719 ","2,652 ","314,501 ",0 ,"12,203 ","12,568 ","21,758,415",2007
UTAH,Total all ages,"120,167 ","1,798 ","15,694 ",38 ,195 ,406 ,"1,159 ","1,256 ","13,667 ",625 ,146 ,"9,788 ",990 ,"1,269 ",17 ,869 ,"3,930 ","1,253 ",349 ,865 ,"9,239 ",3 ,"2,073 ","7,204 ","10,679 ","4,426 ","5,101 ",212 ,"41,746 ",1 ,"1,969 ",692 ,"2,316,297",2007
VERMONT,Total all ages,"16,731 ",438 ,"1,820 ",9 ,40 ,24 ,365 ,356 ,"1,343 ",102 ,19 ,"1,756 ",121 ,414 ,40 ,168 ,445 ,27 ,2 ,53 ,"1,632 ",0 ,336 ,"3,662 ",843 ,5 ,"1,070 ",2 ,"3,891 ",0 ,0 ,6 ,"608,835",2007
VIRGINIA,Total all ages,"313,457 ","7,229 ","28,562 ",267 ,354 ,"2,057 ","4,551 ","4,381 ","22,858 ",959 ,364 ,"36,747 ","2,101 ","8,299 ","1,817 ","1,015 ","4,847 ","3,892 ",647 ,"1,019 ","32,941 ",113 ,"1,636 ","24,170 ","10,129 ","28,899 ","7,034 ",78 ,"104,106 ",0 ,"2,620 ","5,556 ","7,325,924",2007
WASHINGTON,Total all ages,"248,676 ","7,616 ","36,073 ",115 ,770 ,"1,915 ","4,816 ","5,211 ","28,673 ","1,845 ",344 ,"28,616 ","2,111 ","1,223 ",158 ,"3,903 ","6,901 ","3,448 ",874 ,"1,187 ","28,872 ",10 ,725 ,"37,317 ","12,918 ",0 ,"5,136 ",46 ,"69,690 ",0 ,31 ,"1,821 ","4,877,122",2007
WEST VIRGINIA,Total all ages,"46,835 ","1,182 ","4,498 ",35 ,32 ,149 ,966 ,622 ,"3,608 ",214 ,54 ,"5,919 ",337 ,"1,056 ",101 ,281 ,692 ,289 ,233 ,109 ,"3,928 ",4 ,62 ,"6,327 ","1,569 ","4,684 ","1,222 ",10 ,"14,213 ",0 ,65 ,54 ,"1,400,508",2007
WISCONSIN,Total all ages,"421,093 ","8,007 ","40,989 ",217 ,782 ,"1,971 ","5,037 ","4,900 ","33,639 ","2,187 ",263 ,"20,158 ","2,015 ","7,346 ",249 ,"1,687 ","10,658 ","4,894 ",825 ,"3,041 ","25,746 ",153 ,"2,884 ","41,308 ","43,695 ",5 ,"65,824 ","3,054 ","126,265 ",0 ,"7,671 ","4,619 ","5,484,944",2007
WYOMING,Total all ages,"39,808 ",641 ,"2,683 ",13 ,37 ,43 ,548 ,292 ,"2,230 ",138 ,23 ,"3,370 ",93 ,180 ,7 ,74 ,783 ,134 ,4 ,157 ,"3,110 ",5 ,230 ,"6,116 ","4,370 ","2,480 ","1,452 ",21 ,"12,879 ",92 ,437 ,490 ,"516,496",2007
