State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2008 
estimated 
population",Year
INDIANA,Total all ages,"220,709 ","8,351 ","30,527 ",268 ,262 ,"1,930 ","5,891 ","4,475 ","23,865 ","1,970 ",217 ,"20,268 ","1,443 ","1,978 ",15 ,"7,142 ","2,775 ","1,921 ","1,256 ","1,516 ","22,671 ",38 ,"1,790 ","23,475 ","9,883 ","18,536 ","8,158 ",36 ,"54,870 ",77 ,730 ,"3,253 ",,"4,658,523",2008
IOWA,Total all ages,"116,614 ","4,230 ","13,950 ",50 ,108 ,404 ,"3,668 ","1,907 ","11,349 ",553 ,141 ,"10,399 ",604 ,"1,155 ",94 ,210 ,"3,307 ",519 ,129 ,237 ,"8,497 ",13 ,870 ,"14,147 ","8,846 ","12,320 ","6,642 ",28 ,"29,057 ",0 ,812 ,548 ,,"2,765,774",2008
KANSAS,Total all ages,"80,352 ","2,491 ","7,187 ",47 ,183 ,285 ,"1,976 ","1,054 ","5,678 ",372 ,83 ,"11,483 ",556 ,"1,427 ",201 ,307 ,"2,020 ",731 ,227 ,325 ,"6,854 ",9 ,261 ,"13,080 ","7,284 ",329 ,"3,806 ",0 ,"20,426 ",0 ,0 ,"1,348 ",,"1,895,788",2008
KENTUCKY,Total all ages,"35,973 ","1,817 ","6,700 ",55 ,33 ,598 ,"1,131 ","1,220 ","5,268 ",150 ,62 ,"2,552 ",573 ,260 ,5 ,652 ,467 ,611 ,539 ,21 ,"7,952 ",11 ,589 ,"2,363 ",97 ,"3,487 ",694 ,383 ,"6,169 ",0 ,8 ,23 ,,"660,796",2008
LOUISIANA,Total all ages,"140,519 ","9,236 ","19,742 ",183 ,238 ,"1,035 ","7,780 ","3,840 ","14,812 ",920 ,170 ,"15,893 ",528 ,"1,794 ",300 ,"1,328 ","2,744 ","1,748 ",412 ,596 ,"17,959 ",83 ,"1,186 ","7,977 ","6,845 ","2,970 ","12,180 ",355 ,"35,613 ",87 ,493 ,450 ,,"2,471,978",2008
MAINE,Total all ages,"57,060 ",735 ,"8,325 ",8 ,72 ,184 ,471 ,"1,352 ","6,580 ",330 ,63 ,"6,849 ",311 ,886 ,51 ,189 ,"1,492 ",356 ,26 ,275 ,"5,778 ",4 ,93 ,"7,270 ","4,782 ",43 ,"1,886 ",2 ,"17,541 ",0 ,64 ,102 ,,"1,314,189",2008
MARYLAND,Total all ages,"300,165 ","13,001 ","38,147 ",307 ,404 ,"4,443 ","7,847 ","7,411 ","26,879 ","3,292 ",565 ,"29,510 ","1,093 ","2,368 ",433 ,241 ,"4,215 ","4,328 ","1,337 ","1,343 ","57,288 ",283 ,"2,220 ","23,714 ","6,820 ",12 ,"7,431 ",160 ,"104,757 ",591 ,236 ,637 ,,"5,574,256",2008
MASSACHUSETTS,Total all ages,"149,582 ","12,474 ","18,471 ",77 ,310 ,"2,065 ","10,022 ","3,725 ","13,906 ",707 ,133 ,"21,337 ",623 ,"1,518 ",155 ,"1,337 ","3,448 ","1,405 ","1,229 ",696 ,"19,825 ",35 ,"1,295 ","12,941 ","4,214 ","6,021 ","8,337 ",19 ,"33,868 ",28 ,13 ,293 ,,"5,819,911",2008
MICHIGAN,Total all ages,"276,904 ","12,398 ","35,166 ",142 ,578 ,"2,488 ","9,190 ","6,251 ","25,696 ","2,919 ",300 ,"26,868 ",915 ,"5,800 ","1,176 ","1,851 ","3,569 ","4,617 ",761 ,962 ,"31,775 ",136 ,"2,610 ","35,534 ","20,242 ",343 ,"9,247 ",254 ,"80,678 ",0 ,802 ,"1,200 ",,"8,664,761",2008
MINNESOTA ,Total all ages,"204,367 ","5,612 ","29,245 ",111 ,106 ,"1,286 ","4,109 ","3,388 ","24,188 ","1,479 ",190 ,"18,243 ","1,605 ","3,481 ",39 ,"1,692 ","4,634 ","2,269 ","1,338 ","1,524 ","18,196 ",14 ,856 ,"29,832 ","27,458 ",0 ,"14,227 ",360 ,"36,381 ",0 ,"3,882 ","3,479 ",,"5,074,064",2008
MISSISSIPPI,Total all ages,"108,280 ","1,946 ","11,109 ",135 ,165 ,572 ,"1,074 ","2,248 ","8,275 ",485 ,101 ,"10,244 ",883 ,"1,895 ",715 ,715 ,936 ,"1,003 ",119 ,412 ,"11,741 ",227 ,"3,606 ","11,629 ","2,269 ","6,272 ","7,233 ",75 ,"34,431 ",32 ,500 ,288 ,,"1,308,021",2008
MISSOURI,Total all ages,"332,126 ","12,520 ","45,261 ",356 ,548 ,"2,419 ","9,197 ","7,085 ","34,447 ","3,343 ",386 ,"36,334 ","2,515 ","3,638 ",223 ,"3,066 ","7,352 ","4,058 ",635 ,"2,434 ","35,990 ",125 ,"4,636 ","34,004 ","14,242 ",581 ,"15,431 ",250 ,"103,576 ",0 ,"1,805 ","3,450 ",,"5,542,829",2008
MONTANA,Total all ages,"32,378 ",852 ,"4,617 ",11 ,25 ,47 ,769 ,360 ,"3,973 ",227 ,57 ,"4,071 ",64 ,166 ,32 ,33 ,"1,119 ",121 ,11 ,64 ,"1,620 ",0 ,313 ,"4,240 ","5,471 ",0 ,"3,032 ",9 ,"5,620 ",0 ,518 ,405 ,,"932,625",2008
NEBRASKA,Total all ages,"89,301 ","1,967 ","9,602 ",43 ,146 ,397 ,"1,381 ",908 ,"8,242 ",374 ,78 ,"9,072 ",446 ,"1,691 ",113 ,830 ,"2,698 ","1,108 ",212 ,595 ,"10,432 ",19 ,"1,539 ","13,692 ","12,746 ",0 ,"4,306 ",28 ,"17,329 ",1 ,460 ,415 ,,"1,634,173",2008
NEVADA,Total all ages,"166,395 ","6,516 ","17,542 ",146 ,263 ,"1,835 ","4,272 ","3,492 ","12,712 ","1,118 ",220 ,"18,585 ","1,017 ","1,942 ",523 ,"1,606 ","2,983 ","2,051 ","4,659 ","1,594 ","14,886 ",35 ,"1,491 ","14,445 ","10,011 ",201 ,"3,156 ","2,438 ","56,321 ",17 ,"3,189 ","1,187 ",,"2,545,496",2008
NEW HAMPSHIRE,Total all ages,"43,634 ",624 ,"3,165 ",5 ,69 ,150 ,400 ,437 ,"2,596 ",85 ,47 ,"5,595 ",202 ,924 ,29 ,481 ,"1,140 ",88 ,56 ,152 ,"3,266 ",5 ,165 ,"4,571 ","4,909 ","4,168 ","1,200 ",45 ,"12,512 ",0 ,33 ,304 ,,"1,032,522",2008
NEW JERSEY,Total all ages,"386,427 ","13,948 ","34,665 ",276 ,372 ,"4,371 ","8,929 ","6,419 ","26,932 ",917 ,397 ,"26,380 ","1,729 ","4,992 ",162 ,"4,027 ","6,914 ","5,059 ","1,453 ","1,527 ","52,749 ",158 ,"15,113 ","24,313 ","7,683 ",0 ,"23,314 ","1,897 ","151,567 ",0 ,"4,728 ","4,049 ",,"8,355,142",2008
