State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Maryland,1760267,1638454,1546469,91985,121813,387251,296897,283691,13206,90354,313044,312914,292468,20446,130,1059972,1028643,970310,58333,45784,31329,Maryland
Massachusetts,2132052,1875755,1777291,98464,256297,362699,286952,271206,15746,75747,698403,688837,641784,47053,9566,1070950,899966,864301,35665,23516,170984,Massachusetts
Michigan,2298544,2079202,1941201,138001,219342,336613,306612,282621,23991,30001,271756,159208,155451,3757,112548,1690175,1613382,1503129,110253,87250,76793,Michigan
Minnesota,870061,754065,707536,46529,115996,199732,177936,163948,13988,21796,253900,240840,234904,5936,13060,416429,335289,308684,26605,18171,81140,Minnesota
Mississippi,404184,380076,369468,10608,24108,67902,66609,62566,4043,1293,64258,64170,63826,344,88,272024,249297,243076,6221,4013,22727,Mississippi
Missouri,1042811,974115,905956,68159,68696,211894,172082,146826,25256,39812,211243,195633,189736,5897,15610,619674,606400,569394,37006,26524,13274,Missouri
Montana,184382,165123,158680,6443,19259,41367,28035,26105,1930,13332,36704,30777,28129,2648,5927,106311,106311,104446,1865,1292,0,Montana
Nebraska,290674,275250,258177,17073,15424,66750,51632,46244,5388,15118,47535,47535,47160,375,0,176389,176083,164773,11310,7912,306,Nebraska
Nevada,345886,343480,335547,7933,2406,63671,63653,58432,5221,18,55661,55204,54671,533,457,226554,224623,222444,2179,782,1931,Nevada
New Hampshire,202100,195200,185100,10100,6900,36800,36800,29800,7000,0,85800,78900,76000,2900,6900,79500,79500,79300,200,200,0,New Hampshire
New Jersey,2185135,2114329,2071621,42708,70806,347190,342844,337978,4866,4346,644513,632513,617068,15445,12000,1193432,1138972,1116575,22397,17939,54460,New Jersey
New Mexico,498594,498594,484176,14418,0,88817,88817,79674,9143,0,168323,168323,166276,2047,0,241454,241454,238226,3228,1233,0,New Mexico
New York,4928696,4708353,4315496,392857,220343,623391,567888,540419,27469,55503,1813028,1769679,1630210,139469,43349,2492277,2370786,2144867,225919,208103,121491,New York
North Carolina,1744427,1691149,1641505,49644,53278,336111,328841,302381,26460,7270,484829,448595,445557,3038,36234,923487,913713,893567,20146,13682,9774,North Carolina
North Dakota,89362,86222,83892,2330,3140,13903,13805,12918,887,98,36937,35625,34891,734,1312,38522,36792,36083,709,419,1730,North Dakota
Ohio,1998370,1780729,1629129,151600,217641,256546,233180,203810,29370,23366,301021,250689,218994,31695,50332,1440803,1296860,1206325,90535,77908,143943,Ohio
Oklahoma,802158,765007,739305,25702,37151,91636,91636,81458,10178,0,189610,166908,162593,4315,22702,520912,506463,495254,11209,5235,14449,Oklahoma
Oregon,1061636,928514,863099,65415,133122,171170,141259,135578,5681,29911,297556,292769,290382,2387,4787,592910,494486,437139,57347,53327,98424,Oregon
Pennsylvania,2856594,2673448,2419922,253526,183146,905243,893343,876648,16695,11900,429740,324021,324021,0,105719,1521611,1456084,1219253,236831,236831,65527,Pennsylvania
Rhode Island,297159,296740,283965,12775,419,47946,47527,46231,1296,419,91682,91682,85170,6512,0,157531,157531,152564,4967,4047,0,Rhode Island
South Carolina,717446,685601,653323,32278,31845,221406,204655,192180,12475,16751,72009,57560,57141,419,14449,424031,423386,404002,19384,18293,645,South Carolina
South Dakota,116506,112892,104598,8294,3614,22400,22169,16644,5525,231,24433,23820,22954,866,613,69673,66903,65000,1903,875,2770,South Dakota
Tennessee,854914,697973,689424,8549,156941,131690,125377,122829,2548,6313,193477,182264,182060,204,11213,529747,390332,384535,5797,3806,139415,Tennessee
Texas,4094882,3929491,3805877,123614,165391,395399,389406,353673,35733,5993,542359,504270,492653,11617,38089,3157124,3035815,2959551,76264,14125,121309,Texas
Utah,517752,516760,508236,8524,992,103937,103937,98612,5325,0,146208,145216,143899,1317,992,267607,267607,265725,1882,0,0,Utah
Vermont,169688,166908,163664,3244,2780,50868,48332,45984,2348,2536,39049,39049,38697,352,0,79771,79527,78983,544,0,244,Vermont
Virginia,2261079,1540829,1494925,45904,720250,547206,231914,214769,17145,315292,470783,349779,344063,5716,121004,1243090,959136,936093,23043,4453,283954,Virginia
Washington,1058361,989156,929515,59641,69205,241022,175072,154685,20387,65950,82125,79480,77872,1608,2645,735214,734604,696958,37646,30421,610,Washington
West Virginia,304811,304811,296476,8335,0,47790,47790,44787,3003,0,86716,86716,83798,2918,0,170305,170305,167891,2414,735,0,West Virginia
Wisconsin,1336385,1206884,1072005,134879,129501,102421,96662,96004,658,5759,268163,237459,234649,2810,30704,965801,872763,741352,131411,120872,93038,Wisconsin
Wyoming,149413,143947,139025,4922,5466,25386,25386,24700,686,0,40759,35806,34009,1797,4953,83268,82755,80316,2439,1280,513,Wyoming
