State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Total,64891049,60295061,57310310,2984751,4595988,10696671,9407598,8828102,579496,1289073,15306636,14415793,13942289,473504,890843,38887742,36471670,34539919,1931751,1544212,2416072,Total
Alabama,673843,639224,625697,13527,34619,128801,100402,92292,8110,28399,213566,213566,212549,1017,0,331476,325256,320856,4400,1392,6220,Alabama
Alaska,372455,357837,349475,8362,14618,77758,63170,60590,2580,14588,120853,120823,117163,3660,30,173844,173844,171722,2122,663,0,Alaska
Arizona,1094302,958417,928707,29710,135885,166234,151152,135120,16032,15082,194613,164929,159659,5270,29684,733455,642336,633928,8408,891,91119,Arizona
Arkansas,492240,488753,476486,12267,3487,71768,71768,69919,1849,0,135872,132729,132078,651,3143,284600,284256,274489,9767,6324,344,Arkansas
California,9818272,9248190,8975022,273168,570082,1376082,1132235,1089969,42266,243847,2845763,2782272,2756968,25304,63491,5596427,5333683,5128085,205598,156116,262744,California
Colorado,1041892,945955,889391,56564,95937,100125,99690,88068,11622,435,207310,207272,200273,6999,38,734457,638993,601050,37943,28196,95464,Colorado
Connecticut,1249333,1249227,1169190,80037,106,164226,164120,154974,9146,106,447210,447210,411399,35811,0,637897,637897,602817,35080,31788,0,Connecticut
Delaware,419141,411750,404459,7291,7391,70807,68413,65292,3121,2394,103131,98134,97078,1056,4997,245203,245203,242089,3114,1890,0,Delaware
Florida,3422836,3412064,3294535,117529,10772,425266,424501,399434,25067,765,797940,787933,775076,12857,10007,2199630,2199630,2120025,79605,73289,0,Florida
Georgia,1723970,1652673,1578040,74633,71297,272130,255475,225729,29746,16655,180201,164016,160102,3914,16185,1271639,1233182,1192209,40973,23546,38457,Georgia
Hawaii,344619,337978,315605,22373,6641,9228,6244,5488,756,2984,178105,174448,155858,18590,3657,157286,157286,154259,3027,1904,0,Hawaii
Idaho,276370,272850,257763,15087,3520,45973,44108,39073,5035,1865,58713,58713,57398,1315,0,171684,170029,161292,8737,7328,1655,Idaho
Illinois,2088536,1962152,1831075,131077,126384,392153,359209,348607,10602,32944,337065,302938,295431,7507,34127,1359318,1300005,1187037,112968,93893,59313,Illinois
Indiana,944655,912424,865955,46469,32231,200006,193527,182404,11123,6479,103938,103938,102649,1289,0,640711,614959,580902,34057,26504,25752,Indiana
Iowa,608710,542324,533338,8986,66386,86461,85720,84249,1471,741,233583,223592,216395,7197,9991,288666,233012,232694,318,13,55654,Iowa
Kansas,535411,470920,433518,37402,64491,63403,63403,55058,8345,0,145636,139760,138096,1664,5876,326372,267757,240364,27393,23986,58615,Kansas
Kentucky,953342,863013,800800,62213,90329,189524,163317,144067,19250,26207,328612,286446,275199,11247,42166,435206,413250,381534,31716,24969,21956,Kentucky
Louisiana,1021063,816436,782894,33542,204627,250114,194931,180865,14066,55183,143206,141761,139620,2141,1445,627743,479744,462409,17335,10920,147999,Louisiana
Maine,235730,233817,223757,10060,1913,60455,59165,53503,5662,1290,69695,69072,68212,860,623,105580,105580,102042,3538,1572,0,Maine
