State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Rhode Island,363547,363091,354283,8808,456,57953,57497,54405,3092,456,106200,106200,102904,3296,0,199394,199394,196974,2420,1628,0,Rhode Island
South Carolina,835717,786788,721333,65455,48929,208518,195045,159803,35242,13473,112720,83424,80032,3392,29296,514479,508319,481498,26821,14313,6160,South Carolina
South Dakota,183923,180937,172402,8535,2986,31514,29923,27134,2789,1591,42141,42050,40803,1247,91,110268,108964,104465,4499,3584,1304,South Dakota
Tennessee,1204051,989365,941956,47409,214686,156050,155986,151025,4961,64,279290,249943,248928,1015,29347,768711,583436,542003,41433,40377,185275,Tennessee
Texas,4905187,4748732,4552221,196511,156455,720014,714009,627384,86625,6005,619956,619956,613725,6231,0,3565217,3414767,3311112,103655,42701,150450,Texas
Utah,655276,646232,631781,14451,9044,129182,127278,122088,5190,1904,193266,186126,182858,3268,7140,332828,332828,326835,5993,249,0,Utah
Vermont,260390,255249,251888,3361,5141,77177,73213,70660,2553,3964,62885,62885,62520,365,0,120328,119151,118708,443,8,1177,Vermont
Virginia,2796520,1907622,1867131,40491,888898,689989,300849,286363,14486,389140,558960,392987,383918,9069,165973,1547571,1213786,1196850,16936,3330,333785,Virginia
Washington,1694751,1579293,1374582,204711,115458,319335,231284,215588,15696,88051,169521,142560,136597,5963,26961,1205895,1205449,1022397,183052,173183,446,Washington
West Virginia,444377,443867,432342,11525,510,65468,65468,61198,4270,0,136913,136775,133861,2914,138,241996,241624,237283,4341,2122,372,West Virginia
Wisconsin,1531673,1384615,1352691,31924,147058,132283,125676,125140,536,6607,315263,282932,280017,2915,32331,1084127,976007,947534,28473,21195,108120,Wisconsin
Wyoming,245387,241048,191520,49528,4339,15862,15862,15650,212,0,64908,60982,60551,431,3926,164617,164204,115319,48885,48665,413,Wyoming
