State,Total (thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental Expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditures,State
Indiana,"$853,705.00 ","$831,589.00 ","$771,345.00 ","$60,244.00 ","$22,116.00 ","$202,245.00 ","$198,399.00 ","$185,820.00 ","$12,579.00 ","$3,846.00 ","$96,465.00 ","$96,465.00 ","$94,883.00 ","$1,582.00 ",$0.00 ,"$554,995.00 ","$536,725.00 ","$490,642.00 ","$46,083.00 ","$29,874.00 ","$18,270.00 ",Indiana
Iowa,"$565,295.00 ","$501,429.00 ","$488,250.00 ","$13,179.00 ","$63,866.00 ","$81,034.00 ","$80,403.00 ","$76,334.00 ","$4,069.00 ",$631.00 ,"$205,065.00 ","$196,662.00 ","$191,393.00 ","$5,269.00 ","$8,403.00 ","$279,196.00 ","$224,364.00 ","$220,523.00 ","$3,841.00 ",$700.00 ,"$54,832.00 ",Iowa
Kansas,"$501,909.00 ","$451,373.00 ","$420,648.00 ","$30,725.00 ","$50,536.00 ","$53,008.00 ","$53,008.00 ","$43,538.00 ","$9,470.00 ",$0.00 ,"$131,011.00 ","$125,523.00 ","$123,115.00 ","$2,408.00 ","$5,488.00 ","$317,890.00 ","$272,842.00 ","$253,995.00 ","$18,847.00 ","$14,166.00 ","$45,048.00 ",Kansas
Kentucky,"$854,531.00 ","$793,810.00 ","$735,714.00 ","$58,096.00 ","$60,721.00 ","$184,803.00 ","$161,148.00 ","$129,785.00 ","$31,363.00 ","$23,655.00 ","$257,696.00 ","$238,440.00 ","$229,386.00 ","$9,054.00 ","$19,256.00 ","$412,032.00 ","$394,222.00 ","$376,543.00 ","$17,679.00 ","$9,320.00 ","$17,810.00 ",Kentucky
Louisiana,"$910,690.00 ","$725,572.00 ","$681,812.00 ","$43,760.00 ","$185,118.00 ","$244,348.00 ","$194,802.00 ","$174,713.00 ","$20,089.00 ","$49,546.00 ","$135,387.00 ","$133,962.00 ","$131,711.00 ","$2,251.00 ","$1,425.00 ","$530,955.00 ","$396,808.00 ","$375,388.00 ","$21,420.00 ","$15,482.00 ","$134,147.00 ",Louisiana
Maine,"$197,466.00 ","$195,979.00 ","$187,187.00 ","$8,792.00 ","$1,487.00 ","$46,185.00 ","$45,389.00 ","$40,900.00 ","$4,489.00 ",$796.00 ,"$59,399.00 ","$58,708.00 ","$58,434.00 ",$274.00 ,$691.00 ,"$91,882.00 ","$91,882.00 ","$87,853.00 ","$4,029.00 ","$3,726.00 ",$0.00 ,Maine
Maryland,"$1,530,744.00 ","$1,429,328.00 ","$1,344,539.00 ","$84,789.00 ","$101,416.00 ","$318,146.00 ","$234,208.00 ","$221,781.00 ","$12,427.00 ","$83,938.00 ","$309,050.00 ","$301,214.00 ","$273,967.00 ","$27,247.00 ","$7,836.00 ","$903,548.00 ","$893,906.00 ","$848,791.00 ","$45,115.00 ","$36,113.00 ","$9,642.00 ",Maryland
Massachusetts,"$1,793,973.00 ","$1,572,327.00 ","$1,489,605.00 ","$82,722.00 ","$221,646.00 ","$444,636.00 ","$391,383.00 ","$375,914.00 ","$15,469.00 ","$53,253.00 ","$583,873.00 ","$575,788.00 ","$547,766.00 ","$28,022.00 ","$8,085.00 ","$765,464.00 ","$605,156.00 ","$565,925.00 ","$39,231.00 ","$31,747.00 ","$160,308.00 ",Massachusetts
Michigan,"$2,111,209.00 ","$1,907,977.00 ","$1,772,670.00 ","$135,307.00 ","$203,232.00 ","$310,014.00 ","$283,956.00 ","$251,405.00 ","$32,551.00 ","$26,058.00 ","$263,824.00 ","$141,075.00 ","$137,765.00 ","$3,310.00 ","$122,749.00 ","$1,537,371.00 ","$1,482,946.00 ","$1,383,500.00 ","$99,446.00 ","$77,843.00 ","$54,425.00 ",Michigan
Minnesota,"$706,497.00 ","$596,353.00 ","$568,800.00 ","$27,553.00 ","$110,144.00 ","$142,487.00 ","$123,456.00 ","$113,732.00 ","$9,724.00 ","$19,031.00 ","$199,189.00 ","$180,202.00 ","$175,487.00 ","$4,715.00 ","$18,987.00 ","$364,821.00 ","$292,695.00 ","$279,581.00 ","$13,114.00 ","$6,339.00 ","$72,126.00 ",Minnesota
