State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovernmental expenditure,State
Total,73848608,69040752,66324483,2716269,4807856,12232958,10837654,10101297,736357,1395304,18895547,17790081,17252070,538011,1105466,42720103,40413017,38971116,1441901,1099448,2307086,Total
Alabama,845009,815053,787575,27478,29956,161873,139767,120524,19243,22106,231251,231251,228953,2298,0,451885,444035,438098,5937,2038,7850,Alabama
Alaska,448697,443116,437620,5496,5581,71639,66058,63366,2692,5581,166854,166854,165893,961,0,210204,210204,208361,1843,1570,0,Alaska
Arizona,1307585,1210511,1171025,39486,97074,222711,213517,188848,24669,9194,204915,170801,168140,2661,34114,879959,826193,814037,12156,217,53766,Arizona
Arkansas,638069,636848,607440,29408,1221,102735,102735,101017,1718,0,140345,139563,139389,174,782,394989,394550,367034,27516,27503,439,Arkansas
California,11655564,11254559,11082929,171630,401005,1322925,1301716,1293918,7798,21209,3536679,3485885,3420784,65101,50794,6795960,6466958,6368227,98731,76181,329002,California
Colorado,1161934,1029497,1003375,26122,132437,110558,106898,103796,3102,3660,233689,233253,226341,6912,436,817687,689346,673238,16108,11044,128341,Colorado
Connecticut,1357056,1357056,1320831,36225,0,197755,197755,182257,15498,0,541313,541313,527965,13348,0,617988,617988,610609,7379,3366,0,Connecticut
Delaware,483983,476452,469040,7412,7531,101319,99090,94842,4248,2229,137928,132626,131417,1209,5302,244736,244736,242781,1955,0,0,Delaware
Florida,4099482,4082948,3947479,135469,16534,470775,465380,435652,29728,5395,1187854,1176715,1159113,17602,11139,2440853,2440853,2352714,88139,74576,0,Florida
Georgia,1833080,1747515,1688565,58950,85565,257192,227396,215866,11530,29796,192535,187755,187089,666,4780,1383353,1332364,1285610,46754,36662,50989,Georgia
Hawaii,405688,399293,375203,24090,6395,14612,11289,10964,325,3323,211754,208682,186960,21722,3072,179322,179322,177279,2043,887,0,Hawaii
Idaho,310290,299144,288739,10405,11146,45445,43326,41153,2173,2119,65027,65027,64540,487,0,199818,190791,183046,7745,7202,9027,Idaho
Illinois,1968439,1851780,1824447,27333,116659,430811,390411,375033,15378,40400,386951,321700,319036,2664,65251,1150677,1139669,1130378,9291,5476,11008,Illinois
Indiana,962041,933387,905444,27943,28654,200246,199335,186284,13051,911,134185,134185,133062,1123,0,627610,599867,586098,13769,10188,27743,Indiana
Iowa,551510,529961,514582,15379,21549,87138,80515,73623,6892,6623,223748,212167,207280,4887,11581,240624,237279,233679,3600,715,3345,Iowa
Kansas,603233,532906,518025,14881,70327,120276,94933,83808,11125,25343,169820,169337,169278,59,483,313137,268636,264939,3697,2309,44501,Kansas
Kentucky,1031035,959374,924509,34865,71661,187186,162282,151079,11203,24904,385014,358854,352422,6432,26160,458835,438238,421008,17230,12272,20597,Kentucky
Louisiana,1131124,885324,856881,28443,245800,300131,216669,212176,4493,83462,175616,169270,166671,2599,6346,655377,499385,478034,21351,19554,155992,Louisiana
Maine,293526,277473,272151,5322,16053,66345,63618,60710,2908,2727,100458,87182,85780,1402,13276,126723,126673,125661,1012,17,50,Maine
Maryland,2011740,1912225,1850511,61714,99515,388375,324490,315807,8683,63885,434161,429969,417663,12306,4192,1189204,1157766,1117041,40725,32876,31438,Maryland
Massachusetts,2426936,2112450,1910503,201947,314486,521911,401952,360039,41913,119959,833586,832442,717400,115042,1144,1071439,878056,833064,44992,31440,193383,Massachusetts
Michigan,2341040,2154311,2147003,7308,186729,328835,290629,284599,6030,38206,291409,178678,178595,83,112731,1720796,1685004,1683809,1195,255,35792,Michigan
Minnesota,1074695,965077,936572,28505,109618,262554,226868,217214,9654,35686,370095,358593,351542,7051,11502,442046,379616,367816,11800,4825,62430,Minnesota
Mississippi,491561,450406,436265,14141,41155,101583,89105,78411,10694,12478,80231,78049,77388,661,2182,309747,283252,280466,2786,47,26495,Mississippi
Missouri,1019364,1015376,962862,52514,3988,190067,190067,164563,25504,0,223696,223654,219739,3915,42,605601,601655,578560,23095,14663,3946,Missouri
Montana,257865,249921,241828,8093,7944,40213,32269,29646,2623,7944,74186,74186,70369,3817,0,143466,143466,141813,1653,466,0,Montana
Nebraska,331981,315419,308440,6979,16562,76945,60383,56540,3843,16562,56189,56189,56125,64,0,198847,198847,195775,3072,2299,0,Nebraska
Nevada,425651,419486,400265,19221,6165,97844,93826,86149,7677,4018,64931,64493,63258,1235,438,262876,261167,250858,10309,5359,1709,Nevada
New Hampshire,260214,249810,232065,17745,10404,45723,44162,40100,4062,1561,97689,92791,91347,1444,4898,116802,112857,100618,12239,10718,3945,New Hampshire
New Jersey,2871479,2710903,2621258,89645,160576,533315,505121,454688,50433,28194,916788,869690,847158,22532,47098,1421376,1336092,1319412,16680,6940,85284,New Jersey
New Mexico,630333,630333,613433,16900,0,116192,116192,106773,9419,0,222977,222977,218713,4264,0,291164,291164,287947,3217,1337,0,New Mexico
New York,5828874,5442755,5018835,423920,386119,791605,717693,660216,57477,73912,2325525,2133683,2010880,122803,191842,2711744,2591379,2347739,243640,206858,120365,New York
North Carolina,2221092,2090493,1982984,107509,130599,569023,444566,399418,45148,124457,501567,498358,491897,6461,3209,1150502,1147569,1091669,55900,41651,2933,North Carolina
North Dakota,122439,116624,112750,3874,5815,25002,20916,19203,1713,4086,40618,40143,39756,387,475,56819,55565,53791,1774,1417,1254,North Dakota
Ohio,2212973,2004617,1893596,111021,208356,240430,240430,212081,28349,0,367591,313665,306323,7342,53926,1604952,1450522,1375192,75330,57470,154430,Ohio
