State,Total justice system (Thousands of dollars),Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Police protection Total,Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Judicial and Legal Total,Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Corrections Total,Direct expenditure Total,Direct current,Capital outlay Total,Construct. Only,Inter-governmental expenditure Total,State
Rhode Island,348417,348028,314459,33569,389,53225,52836,50942,1894,389,129365,129365,101285,28080,--,165827,165827,162232,3595,2188,--,Rhode Island
South Carolina,654342,610827,579661,31166,43515,167731,147278,130477,16801,20453,82853,65895,64621,1274,16958,403758,397654,384563,13091,10551,6104,South Carolina
South Dakota,145056,132314,121051,11263,12742,29862,29003,26831,2172,859,41053,40467,39862,605,586,74141,62844,54358,8486,7727,11297,South Dakota
Tennessee,995491,808455,790504,17951,187036,152976,146845,143175,3670,6131,222708,201129,200909,220,21579,619807,460481,446420,14061,13265,159326,Tennessee
Texas,4258422,4064061,3941320,122741,194361,491572,485549,439896,45653,6023,639148,586880,580795,6085,52268,3127702,2991632,2920629,71003,17236,136070,Texas
Utah,581827,575268,553007,22261,6559,127206,125745,117220,8525,1461,165937,160839,153910,6929,5098,288684,288684,281877,6807,55,--,Utah
Vermont,236509,222832,216872,5960,13677,88946,76199,71280,4919,12747,49973,49973,49591,382,--,97590,96660,96001,659,18,930,Vermont
Virginia,2310574,1560367,1515730,44637,750207,587606,249768,235530,14238,337838,437043,302453,297882,4571,134590,1285925,1008146,982318,25828,4792,277779,Virginia
Washington,1273842,1181114,1060027,121087,92728,271573,191339,163159,28180,80234,101011,89196,84144,5052,11815,901258,900579,812724,87855,80401,679,Washington
West Virginia,390353,388943,378173,10770,1410,53005,53005,49156,3849,--,136546,136348,134462,1886,198,200802,199590,194555,5035,3005,1212,West Virginia
Wisconsin,1334457,1198116,1159301,38815,136341,118470,111454,110501,953,7016,284662,252041,249582,2459,32621,931325,834621,799218,35403,24592,96704,Wisconsin
Wyoming,270537,261735,171125,90610,8802,31893,30598,29838,760,1295,54280,48862,47293,1569,5418,184364,182275,93994,88281,86770,2089,Wyoming
