State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Indiana,"$953,266.00 ","$930,368.00 ","$871,440.00 ","$58,928.00 ","$22,898.00 ","$240,440.00 ","$236,742.00 ","$216,288.00 ","$20,454.00 ","$3,698.00 ","$99,790.00 ","$99,790.00 ","$98,420.00 ","$1,370.00 ",$0.00 ,"$613,036.00 ","$593,836.00 ","$556,732.00 ","$37,104.00 ","$20,106.00 ","$19,200.00 ",Indiana
Iowa,"$603,374.00 ","$535,996.00 ","$528,243.00 ","$7,753.00 ","$67,378.00 ","$84,809.00 ","$84,316.00 ","$82,915.00 ","$1,401.00 ",$493.00 ,"$226,651.00 ","$217,003.00 ","$213,366.00 ","$3,637.00 ","$9,648.00 ","$291,914.00 ","$234,677.00 ","$231,962.00 ","$2,715.00 ","$1,252.00 ","$57,237.00 ",Iowa
Kansas,"$528,717.00 ","$472,506.00 ","$451,141.00 ","$21,365.00 ","$56,211.00 ","$53,358.00 ","$53,358.00 ","$47,690.00 ","$5,668.00 ",$0.00 ,"$138,864.00 ","$134,022.00 ","$131,395.00 ","$2,627.00 ","$4,842.00 ","$336,495.00 ","$285,126.00 ","$272,056.00 ","$13,070.00 ","$9,954.00 ","$51,369.00 ",Kansas
Kentucky,"$957,567.00 ","$869,005.00 ","$797,326.00 ","$71,679.00 ","$88,562.00 ","$192,738.00 ","$166,961.00 ","$137,865.00 ","$29,096.00 ","$25,777.00 ","$303,910.00 ","$262,745.00 ","$253,913.00 ","$8,832.00 ","$41,165.00 ","$460,919.00 ","$439,299.00 ","$405,548.00 ","$33,751.00 ","$27,532.00 ","$21,620.00 ",Kentucky
Louisiana,"$949,113.00 ","$755,980.00 ","$710,686.00 ","$45,294.00 ","$193,133.00 ","$240,529.00 ","$187,770.00 ","$172,246.00 ","$15,524.00 ","$52,759.00 ","$127,527.00 ","$126,081.00 ","$122,903.00 ","$3,178.00 ","$1,446.00 ","$581,057.00 ","$442,129.00 ","$415,537.00 ","$26,592.00 ","$14,104.00 ","$138,928.00 ",Louisiana
Maine,"$212,635.00 ","$210,820.00 ","$206,735.00 ","$4,085.00 ","$1,815.00 ","$51,765.00 ","$50,500.00 ","$47,135.00 ","$3,365.00 ","$1,265.00 ","$66,356.00 ","$65,806.00 ","$65,436.00 ",$370.00 ,$550.00 ,"$94,514.00 ","$94,514.00 ","$94,164.00 ",$350.00 ,$147.00 ,$0.00 ,Maine
Maryland,"$1,657,677.00 ","$1,547,956.00 ","$1,455,484.00 ","$92,472.00 ","$109,721.00 ","$334,336.00 ","$246,993.00 ","$236,395.00 ","$10,598.00 ","$87,343.00 ","$344,836.00 ","$336,936.00 ","$311,108.00 ","$25,828.00 ","$7,900.00 ","$978,505.00 ","$964,027.00 ","$907,981.00 ","$56,046.00 ","$47,220.00 ","$14,478.00 ",Maryland
Massachusetts,"$2,044,585.00 ","$1,802,236.00 ","$1,707,774.00 ","$94,462.00 ","$242,349.00 ","$327,536.00 ","$266,696.00 ","$250,146.00 ","$16,550.00 ","$60,840.00 ","$683,906.00 ","$674,593.00 ","$638,462.00 ","$36,131.00 ","$9,313.00 ","$1,033,143.00 ","$860,947.00 ","$819,166.00 ","$41,781.00 ","$24,998.00 ","$172,196.00 ",Massachusetts
Michigan,"$2,259,684.00 ","$2,049,954.00 ","$1,924,093.00 ","$125,861.00 ","$209,730.00 ","$312,540.00 ","$283,525.00 ","$272,386.00 ","$11,139.00 ","$29,015.00 ","$271,765.00 ","$152,648.00 ","$149,056.00 ","$3,592.00 ","$119,117.00 ","$1,675,379.00 ","$1,613,781.00 ","$1,502,651.00 ","$111,130.00 ","$87,702.00 ","$61,598.00 ",Michigan
Minnesota,"$774,047.00 ","$664,936.00 ","$638,905.00 ","$26,031.00 ","$109,111.00 ","$168,712.00 ","$149,109.00 ","$139,109.00 ","$10,000.00 ","$19,603.00 ","$224,298.00 ","$205,791.00 ","$201,761.00 ","$4,030.00 ","$18,507.00 ","$381,037.00 ","$310,036.00 ","$298,035.00 ","$12,001.00 ","$2,476.00 ","$71,001.00 ",Minnesota
