State and type of government,Population 2010 (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
Municipalities,-,1088218,131611,12.1,125427,95.3,6184,4.7,0,0
Wisconsin,5687,55472097,3808984,6.9,1678868,44.1,614838,16.1,1515278,39.8
State,-,28336691,1438000,5.1,128028,8.9,287371,20,1022601,71.1
"Local, total",-,27135406,2370984,8.7,1550840,65.4,327467,13.8,492677,20.8
Counties,-,5949708,1189380,20,440365,37,262933,22.1,486082,40.9
Municipalities,-,7594960,1181604,15.6,1110475,94,64534,5.5,6595,0.6
Wyoming,564,8646661,533406,6.2,220747,41.4,111830,21,200829,37.7
State,-,3995991,259707,6.5,52590,20.2,70637,27.2,136480,52.6
"Local, total",-,4650670,273699,5.9,168157,61.4,41193,15.1,64349,23.5
Counties,-,1124701,164931,14.7,69012,41.8,32112,19.5,63807,38.7
Municipalities,-,894521,108768,12.2,99145,91.2,9081,8.3,542,0.5
