State,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4708708,21179,323,1504,6259,13093,177629,48837,117711,11081
ALASKA,698473,4421,22,512,655,3232,20577,3597,15291,1689
ARIZONA,6595778,26929,354,2110,8099,16366,234582,53412,155184,25986
ARKANSAS,2889450,14959,179,1368,2582,10830,109038,34764,68171,6103
CALIFORNIA,36961664,174459,1972,8713,64093,99681,1009614,230137,615456,164021
COLORADO,5024748,16976,175,2242,3387,11172,133968,26649,94861,12458
CONNECTICUT,3518288,10508,107,651,3990,5760,82181,15073,59632,7476
DELAWARE,885122,5635,41,338,1671,3585,29648,6932,20809,1907
FLORIDA,18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259
GEORGIA,9829211,41880,566,2301,14603,24410,360400,98362,228893,33145
HAWAII,1295178,3559,22,392,1034,2111,47419,9178,33422,4819
IDAHO,1545801,3530,22,552,245,2711,30741,6558,22741,1442
ILLINOIS,12910409,64185,773,3901,22923,36588,353347,77850,248821,26676
INDIANA,6423113,21404,310,1640,7352,12102,200160,48910,137371,13879
IOWA,3007856,8397,34,853,1195,6315,69441,16224,49329,3888
KANSAS,2818747,11278,119,1096,1786,8277,90420,19469,64997,5954
KENTUCKY,4314113,11159,178,1509,3629,5843,108401,29701,72620,6080
LOUISIANA,4492076,27849,530,1359,6105,19855,170456,46246,112493,11717
MAINE,1318301,1579,26,376,399,778,31685,6728,23936,1021
MARYLAND,5699478,33623,438,1156,12007,20022,182422,37032,125771,19619
MASSACHUSETTS,6593587,30136,172,1701,7427,20836,151914,34665,105514,11735
MICHIGAN,9969727,49547,627,4514,12330,32076,282918,75815,177720,29383
MINNESOTA,5266214,12842,74,1789,3619,7360,139083,25488,105076,8519
MISSISSIPPI,2951996,8304,190,939,2965,4210,87181,29162,52618,5401
MISSOURI,5987580,29444,383,1607,7452,20002,202698,43787,141432,17479
MONTANA,974989,2473,28,294,216,1935,24024,3386,19182,1456
NEBRASKA,1796619,5059,40,595,1219,3205,49614,8701,37432,3481
NEVADA,2643085,18559,157,1021,6021,11360,80763,21994,46390,12379
NEW HAMPSHIRE,1324575,2114,10,400,455,1249,28624,4928,22572,1124
NEW JERSEY,8707739,27121,319,1041,11639,14122,181097,37262,128327,15508
NEW MEXICO,2009671,12440,175,1057,1870,9338,75078,22022,46580,6476
NEW YORK,19541453,75176,778,2586,28136,43676,378315,62842,293603,21870
NORTH CAROLINA,9380884,37929,494,2306,11825,23304,344098,107830,216244,20024
NORTH DAKOTA,646844,1298,10,225,105,958,12502,2354,9296,852
OHIO,11542645,38332,519,4022,17782,16009,377553,104213,250450,22890
OKLAHOMA,3687050,18474,228,1529,3343,13374,131769,37975,83390,10404
OREGON,3825657,9744,85,1168,2461,6030,113511,19377,84265,9869
PENNSYLVANIA,12604767,47965,661,3651,17514,26139,277512,54797,204894,17821
PUERTO RICO,3967288,10492,894,65,6093,3440,55937,18521,30584,6832
RHODE ISLAND,1053209,2660,31,287,786,1556,27497,5749,19355,2393
SOUTH CAROLINA,4561242,30596,287,1612,5735,22962,177369,45282,118521,13566
SOUTH DAKOTA,812383,1508,21,445,111,931,13968,2479,10676,813
TENNESSEE,6296254,42041,461,1993,9647,29940,236365,63646,157746,14973
TEXAS,24782302,121668,1328,8287,38035,74018,995145,240233,678353,76559
UTAH,2784572,5924,37,905,1299,3683,91205,15159,69142,6904
VERMONT,621760,817,7,124,111,575,14931,3452,11031,448
VIRGINIA,7882590,17879,347,1511,6257,9764,191453,31576,148458,11419
WASHINGTON,6664195,22056,179,2539,6699,12639,244368,52791,167897,23680
WEST VIRGINIA,1819777,5396,84,433,917,3962,45981,11951,31289,2741
WISCONSIN,5654774,14533,144,1108,4850,8431,147486,26740,111820,8926
WYOMING,544270,1242,13,184,77,968,14354,2230,11353,771
