Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4500752,19331,299,1656,6038,11338,182241,43245,124039,14957
ALASKA,648818,3850,39,600,444,2767,24280,3855,17977,2448
ARIZONA,5580811,28638,441,1856,7619,18722,314335,58613,198725,56997
ARKANSAS,2725714,12431,174,903,2228,9126,98710,24903,67797,6010
CALIFORNIA,35484453,205551,2407,9994,63770,129380,1215086,242274,731486,241326
COLORADO,4550688,15706,177,1893,3735,9901,179340,32370,124271,22699
CONNECTICUT,3483372,10736,104,652,4146,5834,90801,15609,64166,11026
DELAWARE,817491,5379,24,353,1389,3613,27667,5966,18821,2880
FLORIDA,17019068,124280,924,6727,31523,85106,757696,170644,505489,81563
GEORGIA,8684715,39422,656,2233,14055,22478,369501,78961,247169,43371
HAWAII,1257608,3400,22,367,1168,1843,65867,11409,44807,9651
IDAHO,1366332,3316,25,508,244,2539,39742,7791,29342,2609
ILLINOIS,12653544,70456,896,4167,23809,41584,415593,78288,295541,41764
INDIANA,6195643,21856,341,1720,6403,13392,208034,41581,145685,20768
IOWA,2944062,8020,47,762,1123,6088,87178,17546,64031,5601
KANSAS,2723507,10771,123,1042,2246,7360,108777,21887,79113,7777
KENTUCKY,4117827,10777,188,1054,3196,6339,110418,27656,73396,9366
LOUISIANA,4496334,29062,586,1849,7069,19558,195569,44877,130810,19882
MAINE,1305728,1422,16,354,289,763,32078,6579,24043,1456
MARYLAND,5508909,38778,525,1358,13302,23593,209418,38641,134372,36405
MASSACHUSETTS,6433422,30196,142,1798,7985,20271,164018,34722,103790,25506
MICHIGAN,10079985,51524,617,5451,11257,34199,330356,68260,208360,53736
MINNESOTA,5059375,13288,128,2083,3904,7173,157691,27696,116236,13759
MISSISSIPPI,2881281,9380,268,1077,3019,5016,107195,29839,68407,8949
MISSOURI,5704484,26968,288,1394,6203,19083,229004,40908,159437,28659
MONTANA,917621,3351,30,246,298,2777,28428,3722,22800,1906
NEBRASKA,1739291,5026,56,495,1162,3313,64552,10072,48356,6124
NEVADA,2241154,13765,197,874,5162,7532,96109,21977,53294,20838
NEW HAMPSHIRE,1287687,1916,18,427,478,993,26448,4552,19979,1917
NEW JERSEY,8638396,31599,407,1325,13366,16501,219799,43453,141778,34568
NEW MEXICO,1874614,12470,112,937,1950,9471,77301,19218,50827,7256
NEW YORK,19190115,89265,934,3773,35758,48800,431448,75493,310738,45217
NORTH CAROLINA,8407248,38246,509,2139,12229,23369,359660,100687,232081,26892
NORTH DAKOTA,633837,493,12,151,51,279,13286,1941,10267,1078
OHIO,11435798,38103,522,4587,16889,16105,416317,94931,280390,40996
OKLAHOMA,3511532,17758,206,1501,3224,12827,151208,34846,103404,12958
OREGON,3559596,10520,68,1218,2851,6383,170230,28626,122615,18989
PENNSYLVANIA,12365455,49216,651,3556,17980,27029,300641,53919,213280,33442
RHODE ISLAND,1076164,3074,25,505,830,1714,32231,5524,22320,4387
SOUTH CAROLINA,4147152,32908,300,1843,5670,25095,185671,43582,126327,15762
SOUTH DAKOTA,764309,1325,10,354,104,857,15299,2873,11552,874
TENNESSEE,5841748,40177,395,2085,9372,28325,255833,63207,166216,26410
TEXAS,22118509,122201,1418,8012,37018,75753,1016422,219785,698433,98204
UTAH,2351467,5845,58,892,1255,3640,99362,16769,74829,7764
VERMONT,619107,682,14,121,60,487,13621,2958,10017,646
VIRGINIA,7386330,20375,413,1773,6672,11517,199731,28919,152898,17914
WASHINGTON,6131445,21276,184,2864,5718,12510,291544,58268,192657,40619
WEST VIRGINIA,1810354,4661,63,296,730,3572,42714,10178,29012,3524
WISCONSIN,5472299,12095,181,1198,4386,6330,157747,26562,118865,12320
WYOMING,501242,1314,14,136,84,1080,16648,2611,13239,798
