Area,Population,Crime Index Total,Modified Crime Index Total2,Violent Crime3,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2
ALABAMA,4464356,192835,,19582,173253,379,1369,5584,12250,40642,119992,12619,
ALASKA,634892,26895,,3735,23160,39,501,514,2681,3847,16695,2618,
ARIZONA,5307331,322549,,28675,293874,400,1518,8868,17889,54821,186850,52203,
ARKANSAS,2692090,111296,,12190,99106,148,892,2181,8969,22196,69590,7320,
CALIFORNIA,34501130,1346557,,212855,1133702,2206,9961,64545,136143,232000,697669,204033,
COLORADO,4417714,186379,,15492,170887,158,1930,3555,9849,28533,121360,20994,
CONNECTICUT,3425074,106791,,11492,95299,105,639,4183,6565,17159,65762,12378,
DELAWARE,796165,32267,,4868,27399,23,420,1156,3269,5144,19476,2779,
FLORIDA,16396515,913230,,130713,782517,874,6641,32867,90331,176052,516548,89917,
GEORGIA,8383915,389543,,41671,347872,598,2180,14402,24491,71799,238484,37589,
HAWAII,1224398,65947,,3117,62830,32,409,1142,1534,11162,44925,6743,
IDAHO,1321006,41392,,3211,38181,30,425,245,2511,7507,28285,2389,
ILLINOIS,12482301,511494,,79504,431990,986,3938,24867,49713,78844,304362,48784,
INDIANA,6114745,234282,,22734,211548,413,1716,7171,13434,42758,147291,21499,
IOWA,2923179,96499,,7865,88634,50,649,1154,6012,16885,66244,5505,
KANSAS,2694641,116446,,10909,105537,92,945,2423,7449,20514,77038,7985,
KENTUCKY,4065556,119449,,10448,109001,191,1132,3280,5845,26505,73152,9344,
LOUISIANA,4465430,238371,,30678,207693,501,1403,7864,20910,46451,139555,21687,
MAINE,1286670,34588,,1434,33154,18,326,264,826,6898,24585,1671,
MARYLAND,5375156,261600,,42088,219512,446,1449,13525,26668,41553,145934,32025,
MASSACHUSETTS,6379304,197666,,30587,167079,145,1856,6476,22110,32430,106821,27828,
MICHIGAN,9990817,407777,,55424,352353,672,5264,12937,36551,72038,226708,53607,
MINNESOTA,4972294,178191,,13145,165046,119,2236,3758,7032,25496,124519,15031,
MISSISSIPPI,2858029,119615,,10006,109609,282,1147,3294,5283,29821,70315,9473,
MISSOURI,5629707,268883,,30472,238411,372,1383,7771,20946,42977,167420,28014,
MONTANA,904433,33362,,3187,30175,34,188,230,2735,3670,24684,1821,
NEBRASKA,1713235,74177,,5214,68963,43,431,1128,3612,9760,52713,6490,
NEVADA,2106074,89845,,12359,77486,180,883,4932,6364,17711,45073,14702,
NEW HAMPSHIRE,1259181,29233,,2144,27089,17,458,445,1224,4889,20060,2140,
NEW JERSEY,8484431,273645,,33094,240551,336,1278,14110,17370,46812,156031,37708,
NEW MEXICO,1829146,97383,,14288,83095,99,850,2695,10644,19552,56406,7137,
NEW YORK,19011378,556106,,98103,458003,960,3546,36555,57042,80400,329316,48287,
NORTH CAROLINA,8186268,404242,,40465,363777,505,2083,13304,24573,101889,237241,24647,
NORTH DAKOTA,634448,15339,,505,14834,7,164,60,274,2165,11583,1086,
OHIO,11373541,475138,,40023,435115,452,4466,17199,17906,96910,295976,42229,
OKLAHOMA,3460097,159405,,17726,141679,185,1486,2746,13309,34573,94537,12569,
OREGON,3472867,175174,,10650,164524,84,1174,2749,6643,26648,123034,14842,
PENNSYLVANIA,12287150,363840,,50432,313408,651,3467,17500,28814,54345,223350,35713,
RHODE ISLAND,1058920,39020,,3278,35742,39,416,986,1837,6824,23875,5043,
SOUTH CAROLINA,4063011,193103,,29265,163838,255,1380,5310,22320,36831,112247,14760,
SOUTH DAKOTA,756600,17644,,1171,16473,7,351,103,710,3087,12571,815,
TENNESSEE,5740021,295770,,42778,252992,425,2196,10219,29938,59705,165015,28272,
TEXAS,21325018,1098809,,122155,976654,1332,8169,35348,77306,204362,669625,102667,
UTAH,2269789,96307,,5314,90993,67,896,1197,3154,13804,70676,6513,
VERMONT,613090,16978,,644,16334,7,107,107,423,3150,12426,758,
VIRGINIA,7187734,228445,,20939,207506,364,1770,6860,11945,31604,157060,18842,
WASHINGTON,5987973,308492,,21258,287234,179,2600,5934,12545,53024,195133,39077,
WEST VIRGINIA,1801916,46120,,5035,41085,40,320,707,3968,9601,28268,3216,
WISCONSIN,5401906,179410,,12486,166924,192,1142,4444,6708,26927,125275,14722,
WYOMING,494423,17392,,1272,16120,9,153,84,1026,2481,12943,696,
