State,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4599030,19557,382,1649,7059,10467,181021,44571,121610,14840
ALASKA,670053,4610,36,509,605,3460,24155,4136,17490,2529
ARIZONA,6166318,30916,465,1941,9226,19284,285370,57055,173466,54849
ARKANSAS,2810872,15506,205,1308,2766,11227,111521,32042,72016,7463
CALIFORNIA,36457549,194120,2485,9212,70968,111455,1156017,246464,666860,242693
COLORADO,4753377,18616,158,2076,3835,12547,164054,32422,110837,20795
CONNECTICUT,3504809,9841,108,636,4241,4856,87764,14694,62680,10390
DELAWARE,853476,5817,42,400,1735,3640,29171,6189,20166,2816
FLORIDA,18089888,128795,1129,6475,34147,87044,721084,170873,473774,76437
GEORGIA,9363941,44106,600,2173,15509,25824,364183,85117,235903,43163
HAWAII,1285498,3615,21,355,1143,2096,54382,8709,37910,7763
IDAHO,1466465,3625,36,587,301,2701,35471,7526,25516,2429
ILLINOIS,12831970,69498,780,4078,23782,40858,387478,77259,272578,37641
INDIANA,6313520,19876,369,1835,7243,10429,221127,46168,153093,21866
IOWA,2982085,8455,55,828,1298,6274,83579,18017,60556,5006
KANSAS,2764075,11748,127,1238,1877,8506,103658,19992,74963,8703
KENTUCKY,4206074,11063,168,1297,3626,5972,107023,27122,70658,9243
LOUISIANA,4287768,29919,530,1562,5729,22098,171239,44986,110613,15640
MAINE,1321574,1526,23,339,384,780,33286,6779,25167,1340
MARYLAND,5615727,38110,546,1178,14375,22011,195476,37457,127497,30522
MASSACHUSETTS,6437193,28775,186,1742,8047,18800,153913,35181,100771,17961
MICHIGAN,10095643,56778,713,5269,14208,36588,324351,76107,198227,50017
MINNESOTA,5167101,16123,125,1645,5433,8920,159119,30173,115567,13379
MISSISSIPPI,2910540,8691,223,1000,3118,4350,93393,27239,57807,8347
MISSOURI,5842713,31880,368,1764,7587,22161,223570,44647,153490,25433
MONTANA,944632,2397,17,269,164,1947,25387,2935,20704,1748
NEBRASKA,1768331,4983,50,548,1129,3256,59075,9452,44585,5038
NEVADA,2495529,18508,224,1079,7027,10178,102036,24820,50255,26961
NEW HAMPSHIRE,1314895,1824,13,344,423,1044,24642,4358,18862,1422
NEW JERSEY,8724560,30672,428,1237,13357,15650,199958,39433,135801,24724
NEW MEXICO,1954599,12572,132,1094,2105,9241,76956,20909,46822,9225
NEW YORK,19306183,83966,921,3169,34489,45387,396304,68565,295605,32134
NORTH CAROLINA,8856505,42124,540,2495,13484,25605,364960,107407,227427,30126
NORTH DAKOTA,635867,813,8,193,72,540,12719,2393,9314,1012
OHIO,11478006,40209,539,4548,19149,15973,422235,104426,280384,37425
OKLAHOMA,3579212,17803,207,1488,3133,12975,129002,34377,81267,13358
OREGON,3700758,10373,86,1195,2689,6403,135895,23879,97556,14460
PENNSYLVANIA,12440621,54665,736,3401,20974,29554,303988,57623,216825,29540
RHODE ISLAND,1067610,2429,28,285,735,1381,27618,5415,18621,3582
SOUTH CAROLINA,4321249,33078,359,1762,5899,25058,183322,42772,124148,16402
SOUTH DAKOTA,781919,1340,9,336,119,876,12664,2650,9296,718
TENNESSEE,6038803,45907,409,2142,11129,32227,249297,62859,163845,22593
TEXAS,23507783,121378,1384,8372,37254,74368,959460,215647,648384,95429
UTAH,2550063,5722,46,869,1245,3562,89671,14701,66671,8299
VERMONT,623908,852,12,150,110,580,14379,3300,10493,586
VIRGINIA,7642884,21568,399,1792,7749,11628,189406,31913,142679,14814
WASHINGTON,6395798,22120,190,2746,6405,12779,286533,58307,182327,45899
WEST VIRGINIA,1818470,5087,75,389,853,3770,47672,11531,32220,3921
WISCONSIN,5556506,15783,164,1131,5567,8921,156571,26994,115546,14031
WYOMING,515004,1234,9,140,72,1013,15350,2320,12254,776
