State,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4557808,19678,374,1564,6447,11293,177393,43473,120780,13140
ALASKA,663661,4194,32,538,537,3087,23975,4131,17249,2595
ARIZONA,5939292,30478,445,2006,8579,19448,287345,56328,176112,54905
ARKANSAS,2779154,14659,186,1193,2531,10749,112775,30143,75348,7284
CALIFORNIA,36132147,190178,2503,9392,63622,114661,1200531,250521,692467,257543
COLORADO,4665177,18498,173,2026,3948,12351,188449,34746,127602,26101
CONNECTICUT,3510297,9635,102,702,3966,4865,89794,15343,64033,10418
DELAWARE,843524,5332,37,377,1306,3612,26245,5811,18085,2349
FLORIDA,17789864,125957,883,6592,30141,88341,712998,164783,472912,75303
GEORGIA,9072576,40725,564,2143,14041,23977,378534,84463,249594,44477
HAWAII,1275194,3253,24,343,1001,1885,61115,9792,42188,9135
IDAHO,1429096,3670,35,577,266,2792,38556,8066,27606,2884
ILLINOIS,12763371,70392,766,4297,23187,42142,393148,77462,276301,39385
INDIANA,6271973,20302,356,1856,6809,11281,216778,43756,151278,21744
IOWA,2966334,8642,38,827,1154,6623,84056,17987,60594,5475
KANSAS,2744687,10634,102,1055,1793,7684,103941,18917,75702,9322
KENTUCKY,4173405,11134,190,1421,3690,5833,105608,26458,70354,8796
LOUISIANA,4523628,26889,450,1421,5337,19681,166611,39382,112840,14389
MAINE,1321505,1483,19,326,323,815,31889,6323,24218,1348
MARYLAND,5600388,39369,552,1266,14378,23173,198483,35922,128491,34070
MASSACHUSETTS,6398743,29237,175,1732,7615,19715,151241,34624,97737,18880
MICHIGAN,10120860,55877,616,5193,13342,36726,312843,70519,194101,48223
MINNESOTA,5132799,15243,115,2258,4724,8146,158301,29716,114304,14281
MISSISSIPPI,2921088,8131,214,1147,2405,4365,95231,26866,60873,7492
MISSOURI,5800310,30477,402,1625,7196,21254,227809,42822,159288,25699
MONTANA,935670,2634,18,301,177,2138,29407,3642,23794,1971
NEBRASKA,1758787,5048,44,579,1040,3385,60207,9363,45277,5567
NEVADA,2414807,14654,206,1016,4702,8730,102424,23481,52012,26931
NEW HAMPSHIRE,1309940,1729,18,405,359,947,23532,4153,18042,1337
NEW JERSEY,8717925,30919,417,1208,13215,16079,203391,38980,136728,27683
NEW MEXICO,1928384,13541,143,1044,1904,10450,79995,21095,50907,7993
NEW YORK,19254630,85839,874,3636,35179,46150,405990,68034,302220,35736
NORTH CAROLINA,8683242,40650,585,2302,12635,25128,353855,104298,221091,28466
NORTH DAKOTA,636677,625,7,154,47,417,12595,1986,9552,1057
OHIO,11464042,40273,585,4557,18696,16435,419899,100063,278457,41379
OKLAHOMA,3547884,18044,187,1481,3230,13146,143406,35692,93814,13900
OREGON,3641056,10444,80,1266,2478,6620,160199,27621,113316,19262
PENNSYLVANIA,12429616,52761,756,3586,19214,29205,300444,56134,214916,29394
RHODE ISLAND,1076189,2703,34,321,776,1572,29260,5318,19544,4398
SOUTH CAROLINA,4255083,32384,315,1809,5622,24638,184646,42589,125699,16358
SOUTH DAKOTA,775933,1363,18,362,144,839,13784,2517,10426,841
TENNESSEE,5962959,44891,432,2171,9974,32314,254948,61233,168637,25078
TEXAS,22859968,121091,1407,8511,35790,75383,990293,219828,677042,93423
UTAH,2469585,5612,56,920,1095,3541,95546,14971,72082,8493
VERMONT,623050,746,8,145,73,520,14210,3064,10505,641
VIRGINIA,7567465,21400,461,1721,7507,11711,199644,29672,154000,15972
WASHINGTON,6287759,21745,205,2811,5788,12941,307661,60343,198031,49287
WEST VIRGINIA,1816856,4957,80,321,811,3745,47696,11286,32594,3816
WISCONSIN,5536201,13371,194,1142,4550,7485,147275,24406,110323,12546
WYOMING,509294,1172,14,122,78,958,16070,2426,12905,739
