State,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4661900,21111,353,1617,7346,11795,190343,50408,126477,13458
ALASKA,686293,4474,28,441,645,3360,20124,3240,15246,1638
ARIZONA,6500180,29059,407,1673,9697,17282,278920,56481,185221,37218
ARKANSAS,2855390,14374,162,1395,2735,10082,109508,33694,69303,6511
CALIFORNIA,36756666,185173,2142,8903,69385,104743,1080747,237835,650385,192527
COLORADO,4939456,16946,157,2098,3365,11326,140725,28256,98950,13519
CONNECTICUT,3501252,10427,123,674,3907,5723,86087,15011,62113,8963
DELAWARE,873092,6141,57,366,1838,3880,31303,6760,22002,2541
FLORIDA,18328340,126265,1168,5972,36273,82852,758934,188467,506958,63509
GEORGIA,9685744,46384,636,2195,17357,26196,388935,100629,248678,39628
HAWAII,1288198,3512,25,365,1086,2036,46004,9379,31492,5133
IDAHO,1523816,3483,23,551,241,2668,32019,6701,23650,1668
ILLINOIS,12901563,67780,790,4118,24054,38818,378355,78968,266815,32572
INDIANA,6376792,21283,327,1720,7532,11704,212715,48645,146615,17455
IOWA,3002555,8520,76,888,1248,6308,72689,16450,51907,4332
KANSAS,2802134,11505,113,1190,1684,8518,94635,19612,67628,7395
KENTUCKY,4269245,12646,198,1408,4004,7036,110314,28839,73808,7667
LOUISIANA,4410796,28944,527,1232,5994,21191,168630,43320,111567,13743
MAINE,1316456,1547,31,375,333,808,32285,6522,24587,1176
MARYLAND,5633597,35393,493,1127,13203,20570,198165,38849,133983,25333
MASSACHUSETTS,6497967,29174,167,1736,7069,20202,155959,36094,107128,12737
MICHIGAN,10003422,50166,542,4502,12964,32158,293585,74176,183168,36241
MINNESOTA,5220393,13717,109,1805,4177,7626,148810,26410,112322,10078
MISSISSIPPI,2938618,8373,237,890,3016,4230,86408,26024,54032,6352
MISSOURI,5911605,29819,455,1615,7390,20359,216585,45788,150032,20765
MONTANA,967440,2497,23,294,172,2008,25182,3332,20277,1573
NEBRASKA,1783432,5416,68,583,1299,3466,51338,8775,38375,4188
NEVADA,2600167,18837,163,1102,6473,11099,89640,24156,49581,15903
NEW HAMPSHIRE,1315809,2069,13,391,419,1246,27526,4286,21853,1387
NEW JERSEY,8682661,28351,376,1122,12701,14152,199126,40401,138545,20180
NEW MEXICO,1984356,12896,142,1139,2172,9443,77572,21713,47855,8004
NEW YORK,19490297,77585,836,2801,31778,42170,388533,65735,297684,25114
NORTH CAROLINA,9222414,43099,604,2284,14334,25877,372961,111602,234616,26743
NORTH DAKOTA,641481,1068,3,232,72,761,12152,2106,9164,882
OHIO,11485910,39997,543,4419,18719,16316,391862,102544,260786,28532
OKLAHOMA,3642361,19184,212,1466,3683,13823,125384,35081,79422,10881
OREGON,3790060,9747,82,1156,2641,5868,124397,20879,92187,11331
PENNSYLVANIA,12448279,51036,701,3478,18873,27984,300032,58620,218941,22471
RHODE ISLAND,1050788,2621,29,277,879,1436,29849,5750,20899,3200
SOUTH CAROLINA,4479800,32691,305,1638,6599,24149,189683,45967,126064,17652
SOUTH DAKOTA,804194,1620,26,432,120,1042,13234,2430,10004,800
TENNESSEE,6214888,44897,408,2062,10800,31627,251245,65006,167015,19224
TEXAS,24326974,123564,1374,8014,37753,76423,969570,230123,654097,85350
UTAH,2736424,6070,39,893,1421,3717,91873,14682,69996,7195
VERMONT,621270,844,17,127,89,611,15771,3462,11724,585
VIRGINIA,7769089,19882,368,1758,7437,10319,195634,31993,150382,13259
WASHINGTON,6549224,21691,192,2628,6347,12524,246148,52478,165339,28331
WEST VIRGINIA,1814468,4968,60,362,889,3657,46607,11066,32337,3204
WISCONSIN,5627967,15421,146,1120,5126,9029,155127,27479,116128,11520
WYOMING,532668,1236,10,180,86,960,14474,2184,11577,713
