Unnamed: 0,Unnamed: 2,1981,Unnamed: 6,1982,Unnamed: 10,1983,Unnamed: 14,1984,Unnamed: 18,Unnamed: 19,1985,Unnamed: 22,1986,Unnamed: 26,1987,Unnamed: 30,1988,Unnamed: 34,1989,Unnamed: 38,Unnamed: 40,1990,Unnamed: 44,1991,Unnamed: 48,1992,Unnamed: 52,1993,Unnamed: 56,1994,Unnamed: 60,Unnamed: 62,1995,Unnamed: 65,1996,Unnamed: 69,1997,Unnamed: 73,1998,Unnamed: 77,Unnamed: 79,1999,Unnamed: 83,2000,Unnamed: 87,2001,Unnamed: 91,2002,Unnamed: 95,Unnamed: 97,2003,Unnamed: 100,2004,Unnamed: 104,2005,Unnamed: 108,2006,Unnamed: 112,2007,Unnamed: 116,Unnamed: 118,2008,Unnamed: 121,2009,Unnamed: 125,Unnamed: 127,2010,Unnamed: 131,2011,Unnamed: 135,Unnamed: 137,2012,Unnamed: 140,2013,Unnamed: 144,2014,Unnamed: 148,2015,Unnamed: 152,Unnamed: 154,2016,Unnamed: 156,2017,Unnamed: 158,2018
,1980,President's,1981,President's,1982,President's,1983,President's,1984,,President's,1985,President's,1986,President's,1987,President's,1988,President's,1989 ,,President's,1990,President's,1991,President's,1992,President's,1993,President's,1994,,President's,1995,President's,1996,President's,1997,President's,1998,,President's,1999,President's,2000,President's,2001,President's,2002,,President's,2003,President's,2004,President's,2005,President's,2006,President's,2007,,President's,2008,President's,2009,2009,President's ,2010,President's ,2011,,President's ,2012,President's ,2013,President's ,2014,President's ,2015,,President's ,2016,President's ,2017,President's 
(in thousands of dollars),Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Recovery Act,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget
Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,
Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,
  Mathematics and Science Partnerships,0,0,0,0,0,0,0,0,0,  Mathematics and Science Partnerships,0,0,0,0,0,0,0,0,0,0,  Mathematics and Science Partnerships,0,0,0,0,0,0,0,0,0,0,  Mathematics and Science Partnerships,0,0,0,0,0,0,0,0,  Mathematics and Science Partnerships,0,0,0,0,0,0,0,12500,  Mathematics and Science Partnerships,12500,100344,12500,149115,269115,178560,269000,182160,182160,182160,  Mathematics and Science Partnerships,182124,178978,178978,178978,0,178978,180478,0,175127,  Mathematics and Science Partnerships,0,149716,0,141902,414716,149717,319717,152717,  Mathematics and Science Partnerships,202717,152717,0,0,0
  Educational Technology State Grants,0,0,0,0,0,0,0,0,0,  Educational Technology State Grants,0,0,0,0,0,0,0,0,0,0,  Educational Technology State Grants,0,0,0,0,0,0,0,0,0,0,  Educational Technology State Grants,0,0,0,0,250000,200000,425000,425000,  Educational Technology State Grants,475000,425000,450000,425000,450000,450000,817096,700500,  Educational Technology State Grants,700500,695947,700500,691841,691841,496000,0,272250,0,272250,  Educational Technology State Grants,0,267494,0,269872,650000,100000,100000,0,0,  Educational Technology State Grants,0,0,0,0,0,0,0,0,  Educational Technology State Grants,0,0,0,0,0
  21st Century Community Learning Centers,0,0,0,0,0,0,0,0,0,  21st Century Community Learning Centers,0,0,0,0,0,0,0,0,0,0,  21st Century Community Learning Centers,0,0,0,0,0,0,0,0,0,0,  21st Century Community Learning Centers,0,750,0,750,0,1000,50000,40000,  21st Century Community Learning Centers,200000,200000,600000,453377,1000000,845614,845614,1000000,  21st Century Community Learning Centers,1000000,993500,600000,999070,999070,991077,991077,981166,981166,981166,  21st Century Community Learning Centers,981180,1081166,800000,1131166,0,1131166,1166166,1166166,1153854,  21st Century Community Learning Centers,1266166,1151673,1151673,1091564,1251673,1149370,1149370,1151673,  21st Century Community Learning Centers,1151673,1166673,1000000,1191673,0
  State Assessments,0,0,0,0,0,0,0,0,0,  State Assessments,0,0,0,0,0,0,0,0,0,0,  State Assessments,0,0,0,0,0,0,0,0,0,0,  State Assessments,0,0,0,0,0,0,0,0,  State Assessments,0,0,0,0,0,0,320000,387000,  State Assessments,387000,384484,390000,390000,410000,411680,411680,407563,407563,407563,  State Assessments,411630,408732,408732,410732,0,410732,410732,450000,389951,  State Assessments,420000,389214,389214,368900,389214,378000,378000,378000,  State Assessments,403000,378000,403000,369100,377281
  Indian Education,75900,81680,81680,71597,77852,51119,69185,1243,68780,  Indian Education,68780,67404,67356,64187,75729,64036,64217,66326,67653,71553,  Indian Education,74168,73620,75762,75365,77400,76570,81205,80583,84006,83500,  Indian Education,85987,81041,84785,52497,81500,58050,62600,59750,  Indian Education,66000,66000,77000,77000,115500,115500,116000,120368,  Indian Education,122368,121573,122368,120856,120856,119889,119889,118690,118690,118690,  Indian Education,118683,119564,119564,122282,0,122282,127282,127282,127027,  Indian Education,127282,130779,130779,123939,130779,123939,123939,123939,  Indian Education,173939,123939,174939,164939,143665
  Teacher Incentive Fund,0,0,0,0,0,0,0,0,0,  Teacher Incentive Fund,0,0,0,0,0,0,0,0,0,0,  Teacher Incentive Fund,0,0,0,0,0,0,0,0,0,0,  Teacher Incentive Fund,0,0,0,0,0,0,0,0,  Teacher Incentive Fund,0,0,0,0,0,0,0,0,  Teacher Incentive Fund,0,0,0,0,0,0,500000,99000,99000,200,  Teacher Incentive Fund,199000,97270,200000,97270,200000,517270,400000,0,399200,  Teacher Incentive Fund,0,299433,0,283771,0,288771,0,230000,  Teacher Incentive Fund,350000,230000,250000,200000,199563
  Choice Incentive Fund,0,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,  Choice Incentive Fund,50000,0,75000,0,50000,0,50000,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0,0,0,0,  Choice Incentive Fund,0,0,0,0,0
  Safe and Drug-Free Schools and Communities State Grants,0,0,0,0,0,0,0,0,0,  Safe and Drug-Free Schools and Communities State Grants,0,0,0,0,0,161046,82800,191480,207000,287730,  Safe and Drug-Free Schools and Communities State Grants,297513,460554,487619,497702,497709,507663,507663,498565,498565,369500,  Safe and Drug-Free Schools and Communities State Grants,580000,440981,465000,440978,515000,555978,590000,531000,  Safe and Drug-Free Schools and Communities State Grants,526000,441000,439000,439250,439250,439250,644250,472017,  Safe and Drug-Free Schools and Communities State Grants,472017,468949,422017,440908,440908,437381,0,346500,0,346500,  Safe and Drug-Free Schools and Communities State Grants,100000,294759,100000,294759,0,0,0,0,0,  Safe and Drug-Free Schools and Communities State Grants,0,0,0,0,0,90000,214000,70000,  Safe and Drug-Free Schools and Communities State Grants,90000,75000,90000,68000,74857
  English Language Acquisition,186663,131222,157467,123174,134372,94534,134371,92034,165679,  English Language Acquisition,135559,169265,139265,161994,142951,188981,143095,191751,200504,197394,  English Language Acquisition,204106,188674,205537,198012,200789,225407,233645,225745,232251,240155,  English Language Acquisition,253920,206700,300000,178000,256700,256700,349000,349000,  English Language Acquisition,382000,374000,409000,398000,446000,446000,460000,664269,  English Language Acquisition,665000,683747,665000,681215,681215,675765,675765,669007,669007,669007,  English Language Acquisition,670819,700395,730000,730000,0,730000,750000,800000,733530,  English Language Acquisition,750000,732144,732144,693848,732144,723400,723400,737400,  English Language Acquisition,773400,737400,800400,737400,735998
  Special Education,1194025,957862,1177856,899668,1215100,845668,1305922,1215102,1387165,  Special Education,1360965,1471440,1456270,1494049,1453270,1892070,1638351,2020288,2068151,2109488,  Special Education,2162027,2201644,2283810,2616274,2729853,2854895,2943400,2965602,3124921,3108702,  Special Education,3294959,3252846,3342126,3245415,3552913,3973176,4210000,4746138,  Special Education,4991138,5269638,5385388,5971763,6294408,7362595,8355595,8594424,  Special Education,9609424,9956707,10611724,11160707,12176101,11673606,12126130,11653013,11697502,11802867,  Special Education,11485147,11993683,12335943,12579677,12200000,12579677,12587035,12846190,12542912,  Special Education,12861351,12638713,12657307,11980472,12657307,12497300,12600627,12522358,  Special Education,12822358,12976858,13066858,13001315,12942126
