state,state_abbr,latitude,longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oklahoma,OK,35.5376,-96.9247,961098433,1129165230,1250970587,1334923300,1383106457,1358397668,1369915636.7395148,1460048449.925291,1780419970.5226874,1961296841.233154,1914987911.5102,1856728667.1653588,1778587182.6057856,1743623228.4346442,1672978363.288661,1693275053.0383568
Oregon,OR,44.5672,-122.1269,911681573,1045914343,1188324467,1318760448,1307882154,1295029955,1372901433.4721508,1570400632.407875,1915730775.7602482,2359873142.208431,2332033006.4620976,2473095210.801275,2296863707.8806744,2283322909.4437914,2174406327.8342276,2206412650.748229
Pennsylvania,PA,40.5773,-77.264,3795993993,4218203051,4576009648,4740816851,5045260714,5294647339,5586045204.878926,5782155092.401718,6974433059.082256,8439063998.979605,8203593196.514718,8053091861.342825,7367054550.411442,7320042265.236679,7516987147.139069,7668455389.493414
Rhode Island,RI,41.6772,-71.5101,401957614,426601401,500204883,530793180,579074776,552904039,607021205.2938986,672191792.5817766,812846791.7645147,807647788.3853979,832176444.8727132,787188502.1728455,649316889.4540348,684170147.8672817,733435117.81,742063568.1
South Carolina,SC,33.8191,-80.9066,922375423,1086611670,1240482040,1313444504,1325000535,1374888937,1486225056.0821364,1594238879.3544283,1941556167.4297607,2525717313.919186,2337037905.5461063,2360877062.7286553,2289810378.053769,2293325822.947748,2202213756.7581544,2240871269.153087
South Dakota,SD,44.2853,-99.4632,296723889,342344861,373160375,375611344,404652702,385732599,401770417.2048669,416833841.02714324,498546323.89459586,598234609.1395724,665308184.0754706,639611810.1303078,649529202.2228878,628689491.524749,589893532.85766,605257851.36766
Tennessee,TN,35.7449,-86.7489,1326565262,1514613174,1705965593,1895812898,1930731025,1976977392,2132145239.9699438,2291867545.2822094,2855106852.7972193,3473788990.4155254,3386508073.9085884,3230108526.0085545,3132834992.9042435,3124759155.1791844,3003457777.088171,3055602603.8334765
Texas,TX,31.106,-97.6475,4760220857,5638643478,6541541039,7207764023,7652047983,7792289367,7953251576.877334,8419664869.473316,10165239531.960423,12354590579.167408,11815683237.050232,11391471500.428429,11311390682.918709,11254325646.514624,10716225909.737106,10896383072.927214
Utah,UT,40.1135,-111.8535,510599570,594855398,674510076,762450195,763993683,767757139,807844964.864002,851623835.141402,1079681038.8473306,1622124306.3897467,1712850037.2267036,1693986698.5140305,1717424603.8916152,1705293430.0266666,1549237437.165,1557121346.745
Vermont,VT,44.0407,-72.7093,253879970,276976033,304548823,318894589,331030556,348958046,382073087.9937973,392882307.668399,471165767.26815426,504029603.4503603,499797462.8197448,488598108.44369483,393893570.00827277,394996828.0920136,442921893.61,446551347.9
Virginia,VA,37.768,-78.2057,1564714192,1772711389,1952288975,2122509463,2343361290,2400097845,2668430090.704709,2930408742.574581,3586989308.048314,4487279644.010174,4233269653.7983394,4451067362.320328,4671895919.688204,5108238381.820845,4286211234.7183285,4365120855.387941
Washington,WA,47.3917,-121.5708,1253035444,1501299011,1663743593,1780464671,1790296779,1718697048,1775557207.2663503,1960404300.3243527,2364080504.816329,2842846379.923826,2587085704.0364213,2629058548.8428144,2477981796.0963955,2525362924.2330966,2506549879.7128687,2555501919.323948
West Virginia,WV,38.468,-80.9696,520774265,593509323,677382817,714586624,724741052,747262992,813660993.2385359,951378317.5085075,1143885466.907291,1336927078.412609,1365050780.6102276,1360174319.0084991,1398937899.3019707,1325717807.0197177,1259501297.5700002,1265499499.62
Wisconsin,WI,44.2563,-89.6385,1205201789,1357291868,1511374487,1613726426,1682084698,1695229913,1867581068.2729087,1995660622.59787,2414288905.887144,2915774857.724105,2820795505.640907,2786588957.639558,2756437231.7168612,2737880765.9897175,2513800854.0166483,2550987252.4357095
Wyoming,WY,42.7475,-107.2085,152676575,182179355,211058170,258093648,264614902,247839567,218406197.33687085,224783405.1496553,266421146.81144214,272369090.66996115,270636459.4259438,248121510.3890437,246150077.84732646,239440159.1021614,223082544.076,235985162.953
