State,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2000,4.5459,4.2494,5.8295,4.1153,3.7397,3.9826,3.2327,4.4781,5.6947,4.7511,5.1989,3.1862,4.2862,3.7519,3.2337,4.4088,2.9597,5.4228,2.6198,4.8161,3.0261,4.1099,3.4884,4.0044,4.5278,3.5334,4.0955,4.2686,2.4331,3.1605,5.5189,3.0996,4.9193,2.2881,4.0418,4.5586,4.8454,2.9953,3.4764,5.2214,2.3198,4.8902,4.9555,4.4761,2.9869,3.0281,5.1056,2.6028,3.2091,3.298
2001,4.3194,4.2362,6.0774,4.1342,3.9029,4.2189,3.1179,4.0528,5.5697,4.6463,5.3861,3.1334,4.0978,3.8314,3.3012,4.3214,2.9381,5.3381,2.6882,4.8668,3.0986,4.0815,3.5837,4.1852,4.7761,3.6887,4.3296,4.266,2.3216,3.2253,5.324,2.9251,4.938,2.4177,4.1776,4.607,5.0441,2.9611,3.6849,4.7527,2.332,5.1528,5.1527,4.243,2.7693,3.1783,5.1519,2.5595,3.3212,3.5176
2002,4.4652,4.3097,6.3863,4.1575,3.9437,4.3478,2.9972,3.939,5.4206,4.5072,6.0437,3.1725,4.0164,3.75,3.4482,4.087,2.9026,5.0981,2.656,4.7474,3.0942,3.8741,3.5351,4.1592,4.6024,3.5129,4.2567,4.4975,2.22,3.0242,5.0778,2.8037,4.7214,2.4062,4.1073,4.7432,4.8684,2.841,3.5891,5.2973,2.2787,5.0189,5.1896,4.4524,2.53,3.1403,5.1068,2.5152,3.2527,3.5809
2003,4.4786,4.3356,6.1456,4.0775,4.0036,4.286,2.9149,4.0424,5.1822,4.7085,5.5079,3.1514,3.8412,3.7105,3.2335,4.3895,2.9432,4.9958,2.5656,4.5053,3.0189,3.7885,3.3794,4.0459,4.4873,3.4632,4.0004,4.9026,2.2027,2.9102,4.7888,2.7135,4.7329,2.1739,3.9737,4.8117,5.0778,2.8293,3.2806,5.2706,2.1751,5.0672,5.1478,4.4741,2.3103,2.9799,5.1019,2.6169,3.1036,3.5834
2004,4.4516,4.0173,5.8446,4.5121,3.9708,4.2928,2.9135,3.7323,4.891,4.7214,5.0472,3.0393,3.729,3.723,3.1762,4.348,2.7826,5.0489,2.5131,4.3407,2.9185,3.5478,3.3086,3.7736,4.394,3.23,3.8293,4.8225,2.2071,2.7849,4.885,2.6402,4.608,1.996,4.015,4.7426,4.9296,2.8261,3.1315,5.289,2.105,5.0017,5.0345,4.3216,2.4202,2.9522,5.193,2.7774,2.8727,3.5639
2005,4.3238,4.2444,5.3512,4.5854,3.8489,4.436,2.8325,3.7435,4.7159,4.6212,5.0477,2.9547,3.6318,3.78,3.125,4.1744,2.7973,4.2775,2.5253,4.2471,2.8205,3.6432,3.3811,3.5385,4.4529,3.4244,3.7102,4.8483,1.9284,2.6877,4.8505,2.5543,4.5432,2.0764,4.014,4.5506,4.6866,2.8417,2.9701,5.1005,1.9521,5.0283,4.8617,4.0961,2.4004,2.921,5.2388,2.898,2.9017,3.3854
2006,4.3613,4.2929,5.1293,4.5191,3.7034,3.8429,2.7849,4.0995,4.6981,4.3602,4.5116,2.666,3.5612,3.8172,3.0862,4.1752,2.8075,4.6915,2.6342,4.1595,2.838,3.7752,3.3915,3.5074,4.3721,2.9412,3.6225,4.8304,2.0128,2.6435,4.5804,2.4876,4.5964,2.1282,4.0289,4.1016,3.9524,2.8829,2.8144,5.0078,1.791,4.8885,4.5978,3.7408,2.4413,2.7604,4.8259,2.9012,3.1018,3.2202
2007,4.4196,4.0407,4.8967,4.4825,3.5556,3.3539,2.6559,4.0593,4.8119,4.3942,4.4982,2.486,3.469,3.7302,2.9103,4.1314,2.8133,4.8055,2.5468,4.0734,2.823,3.6017,3.3253,3.4921,4.2433,3.0529,3.4638,4.5284,2.0293,2.5424,4.3899,2.3927,4.5537,2.032,3.7984,4.026,3.8138,2.7778,2.8499,5.06,1.8215,4.8419,4.6318,3.7351,2.447,2.7361,4.3639,2.8002,3.1286,3.1052
2008,4.5357,3.5842,4.738,4.3385,3.4441,3.1921,2.7565,4.2887,4.8297,4.4944,3.8438,2.3298,3.458,3.6696,2.7047,3.7878,2.8801,4.4793,2.5699,4.1458,2.8491,3.4363,3.1134,3.2253,4.1681,2.8611,3.1823,4.172,2.2491,2.6199,4.5591,2.3916,4.5114,2.0609,3.7599,3.9691,3.5394,2.8202,3.09,4.9639,1.847,4.765,4.4935,3.5792,2.6744,2.774,4.0896,2.8424,3.0304,2.9493
2009,4.2222,3.579,3.9648,4.2914,3.2035,3.004,2.6345,3.9862,4.4533,4.0927,3.936,2.2171,3.2341,3.4494,2.5879,3.6079,2.7714,4.4146,2.5233,3.7906,2.7611,3.3348,2.8849,3.2346,3.8771,2.7176,3.0431,3.7578,2.3206,2.3912,4.3548,2.3207,4.0724,2.1335,3.603,4.0749,3.2218,2.5821,2.8634,4.5594,1.905,4.4218,4.5064,3.4881,2.5328,2.6556,3.9979,2.8232,2.8652,2.8655
